"V1","V2"
"MariaThorpe","Sophia"
"MrsAllen","Sophia"
"AnneThorpe","MissAndrews"
"JohnThorpe","MissAndrews"
"MariaThorpe","MissAndrews"
"CaptainFrederickTilney","CharlesHodges"
"CaptainFrederickTilney","GeneralTilney"
"CaptainFrederickTilney","JohnThorpe"
"CharlesHodges","EleanorTilney"
"CharlesHodges","GeneralTilney"
"CharlesHodges","IsabellaThorpe"
"CharlesHodges","JohnThorpe"
"CharlesHodges","MrHenryTilney"
"CaptainFrederickTilney","MrsHughes"
