"","x"
"1","Alex Macstinger"
"2","Alice Brown"
"3","Anne"
"4","Barnet Skettles Jr"
"5","Berinthia"
"6","Bill Bitherstone"
"7","Briggs"
"8","Captain Bunsby"
"9","Captain Cuttle"
"10","Charles Macstinger"
"11","Cornelia Blimber"
"12","Cousin Feenix"
"13","Diogenes"
"14","Doctor Blimber"
"15","Doctor Parker Peps"
"16","Florence Dombey"
"17","Flowers"
"18","Harriet Carker"
"19","James Carker"
"20","Jemima"
"21","Joe"
"22","John"
"23","Johnson"
"24","Juliana Macstinger"
"25","Kate"
"26","Lady Skettles"
"27","Lucretia Tox"
"28","Major Bagstock"
"29","Mary Daws"
"30","Master Bitherstone"
"31","Melia"
"32","Miss Pankey"
"33","Mr Baps"
"34","Mr Brogley"
"35","Mr Carker"
"36","Mr Chick"
"37","Mr Clark"
"38","Mr Dombey"
"39","Mr Feeder"
"40","Mr Morfin"
"41","Mr Perch"
"42","Mr Pilkins"
"43","Mr Sownds"
"44","Mr Toodle"
"45","Mr Toots"
"46","Mrs Baps"
"47","Mrs Blimber"
"48","Mrs Blockitt"
"49","Mrs Bokum"
"50","Mrs Brown"
"51","Mrs Chick"
"52","Mrs Dombey I"
"53","Mrs Dombey II"
"54","Mrs Miff"
"55","Mrs Perch"
"56","Mrs Polly Toodle"
"57","Mrs Skewton"
"58","Mrs Wickam"
"59","Old Glubb"
"60","Paul Dombey"
"61","Reverend Feeder"
"62","Reverend Melchisedech"
"63","Robin Toodle"
"64","Sir Barnet Skettles"
"65","Solomon Gills"
"66","Susan Nipper"
"67","The Native"
"68","Towlinson"
"69","Walter Gay"
"70","Tozer"
"71","Withers"
"72","The Game Chicken"
"73","Martha"
