"Character","Node","Type","Appearances"
"Charles St Evrémonde",27,"First Appearance",54
"Charles St Evrémonde",159,"Last Appearance",54
"Doctor Manette",9,"First Appearance",55
"Doctor Manette",151,"Last Appearance",55
"Ernest Defarge",15,"First Appearance",36
"Ernest Defarge",159,"Last Appearance",36
"Foulon",96,"Last Appearance",3
"Foulon",94,"First Appearance",3
"Gaspard",14,"First Appearance",3
"Gaspard",78,"Last Appearance",3
"Jacques",15,"First Appearance",15
"Jacques",154,"Last Appearance",15
"Jarvis Lorry",4,"First Appearance",73
"Jarvis Lorry",156,"Last Appearance",73
"Jerry Cruncher",157,"Last Appearance",28
"Jerry Cruncher",4,"First Appearance",28
"Joe",3,"First Appearance",2
"Joe",4,"Last Appearance",2
"Lucie Manette",34,"First Appearance",42
"Lucie Manette",155,"Last Appearance",42
"Marquis St Evrémonde I",139,"First Appearance",3
"Marquis St Evrémonde I",141,"Last Appearance",3
"Marquis St Evrémonde II",145,"Last Appearance",28
"Marquis St Evrémonde II",45,"First Appearance",28
"Miss Pross",157,"Last Appearance",29
"Miss Pross",40,"First Appearance",29
"Mr Stryver",32,"First Appearance",17
"Mr Stryver",103,"Last Appearance",17
"Mrs Cruncher",24,"First Appearance",7
"Mrs Cruncher",155,"Last Appearance",7
"Mrs Stryver",89,"First Appearance",1
"Mrs Stryver",89,"Last Appearance",1
"Roger Cly",159,"Last Appearance",7
"Roger Cly",30,"First Appearance",7
"Solomon Pross",29,"First Appearance",17
"Solomon Pross",159,"Last Appearance",17
"Sydney Carton",32,"First Appearance",35
"Sydney Carton",159,"Last Appearance",35
"The Vengeance",94,"First Appearance",12
"The Vengeance",159,"Last Appearance",12
"Théophile Gabelle",122,"Last Appearance",10
"Théophile Gabelle",49,"First Appearance",10
"Thérèse Defarge",14,"First Appearance",29
"Thérèse Defarge",158,"Last Appearance",29
"Tom",3,"First Appearance",1
"Tom",3,"Last Appearance",1
"Young Jerry Cruncher",24,"First Appearance",2
"Young Jerry Cruncher",25,"Last Appearance",2
