"","Character","Node","Type","Appearances"
"1","Adam Smith Gradgrind",7,"First Appearance",1
"2","Adam Smith Gradgrind",7,"Last Appearance",1
"3","Bitzer",2,"First Appearance",14
"4","Bitzer",102,"Last Appearance",14
"5","Bounderby",5,"First Appearance",69
"6","Bounderby",102,"Last Appearance",69
"7","E.W.B. Childers",11,"First Appearance",5
"8","E.W.B. Childers",100,"Last Appearance",5
"9","Emma Gordon",14,"First Appearance",2
"10","Emma Gordon",96,"Last Appearance",2
"11","Harthouse",44,"First Appearance",25
"12","Harthouse",98,"Last Appearance",25
"13","Jane Gradgrind",7,"First Appearance",3
"14","Jane Gradgrind",68,"Last Appearance",3
"15","Kidderminster",11,"First Appearance",5
"16","Kidderminster",96,"Last Appearance",5
"17","Lady Scadgers",16,"First Appearance",4
"18","Lady Scadgers",102,"Last Appearance",4
"19","Louisa Gradgrind",4,"First Appearance",58
"20","Louisa Gradgrind",103,"Last Appearance",58
"21","M’Choakumchild",1,"First Appearance",6
"22","M’Choakumchild",33,"Last Appearance",6
"23","Malthus Gradgrind",7,"First Appearance",1
"24","Malthus Gradgrind",7,"Last Appearance",1
"25","Mr Sleary",100,"Last Appearance",11
"26","Mr Sleary",4,"First Appearance",11
"27","Mrs Blackpool",24,"First Appearance",6
"28","Mrs Blackpool",103,"Last Appearance",6
"29","Mrs Gradgrind",6,"First Appearance",12
"30","Mrs Gradgrind",69,"Last Appearance",12
"31","Mrs Pegler",6,"First Appearance",15
"32","Mrs Pegler",102,"Last Appearance",15
"33","Mrs Sparsit",16,"First Appearance",28
"34","Mrs Sparsit",102,"Last Appearance",28
"35","Nickits",59,"First Appearance",2
"36","Nickits",60,"Last Appearance",2
"37","Rachael",23,"First Appearance",22
"38","Rachael",103,"Last Appearance",22
"39","Signor Jupe",4,"First Appearance",2
"40","Signor Jupe",11,"Last Appearance",2
"41","Sissy Jupe",2,"First Appearance",38
"42","Sissy Jupe",100,"Last Appearance",38
"43","Slackbridge",49,"First Appearance",5
"44","Slackbridge",85,"Last Appearance",5
"45","Stephen Blackpool",23,"First Appearance",29
"46","Stephen Blackpool",103,"Last Appearance",29
"47","Thomas Gradgrind",2,"First Appearance",43
"48","Thomas Gradgrind",100,"Last Appearance",43
"49","Tom Gradgrind",4,"First Appearance",40
"50","Tom Gradgrind",102,"Last Appearance",40
