"Character","Node"
"Adam Smith Gradgrind","7"
"Bitzer","51, 2, 68, 42, 64, 100, 63, 98, 43, 99, 10, 41, 65, 102"
"Bounderby","19, 63, 61, 92, 25, 54, 89, 22, 45, 39, 55, 43, 33, 68, 71, 60, 41, 95, 35, 17, 51, 47, 81, 18, 70, 21, 13, 93, 11, 82, 38, 9, 83, 42, 7, 72, 64, 84, 16, 99, 79, 37, 6, 5, 46, 26, 62, 44, 36, 67, 53, 40, 48, 86, 65, 8, 10, 87, 52, 59, 34, 102, 90, 85, 14, 27, 98, 12, 56"
"E.W.B. Childers","11, 100, 12, 97, 13"
"Emma Gordon","14, 96"
"Harthouse","70, 60, 64, 83, 68, 44, 46, 45, 65, 72, 67, 80, 62, 73, 59, 48, 63, 71, 79, 82, 61, 47, 52, 81, 98"
"Jane Gradgrind","7, 68, 39"
"Kidderminster","14, 96, 11, 13, 12"
"Lady Scadgers","82, 16, 102, 38"
"Louisa Gradgrind","22, 82, 74, 4, 46, 54, 20, 93, 100, 36, 85, 60, 92, 63, 6, 77, 7, 84, 5, 103, 34, 57, 65, 19, 69, 18, 83, 64, 37, 13, 99, 79, 45, 96, 21, 87, 35, 56, 59, 17, 52, 16, 75, 97, 70, 71, 39, 95, 73, 67, 98, 33, 86, 78, 72, 68, 90, 61"
"M’Choakumchild","1, 9, 20, 3, 33, 18"
"Malthus Gradgrind","7"
"Mr Sleary","98, 96, 22, 100, 15, 97, 14, 99, 4, 95, 13"
"Mrs Blackpool","31, 24, 30, 25, 103, 26"
"Mrs Gradgrind","7, 36, 19, 22, 68, 69, 20, 37, 9, 33, 6, 17"
"Mrs Pegler","89, 9, 55, 16, 64, 28, 57, 85, 70, 90, 6, 56, 86, 88, 102"
"Mrs Sparsit","41, 90, 63, 74, 16, 26, 89, 68, 38, 25, 67, 58, 43, 73, 82, 88, 44, 102, 71, 79, 72, 65, 70, 42, 64, 27, 40, 17"
"Nickits","59, 60"
"Rachael","31, 85, 103, 29, 58, 86, 91, 87, 51, 93, 57, 92, 90, 94, 32, 56, 23, 88, 55, 30, 89, 95"
"Signor Jupe","4, 11"
"Sissy Jupe","89, 90, 91, 3, 22, 99, 92, 4, 2, 97, 98, 80, 100, 79, 36, 81, 10, 95, 33, 21, 13, 93, 11, 12, 85, 96, 68, 83, 20, 78, 37, 88, 87, 69, 14, 77, 18, 17"
"Slackbridge","52, 49, 85, 50, 53"
"Stephen Blackpool","53, 86, 23, 54, 57, 90, 55, 49, 88, 94, 30, 25, 93, 28, 91, 51, 58, 95, 27, 87, 52, 84, 26, 31, 50, 85, 32, 56, 103"
"Thomas Gradgrind","11, 99, 13, 3, 93, 44, 10, 98, 5, 18, 37, 22, 90, 75, 100, 20, 16, 39, 81, 7, 97, 86, 33, 96, 89, 82, 2, 36, 92, 87, 12, 62, 83, 72, 95, 35, 4, 17, 77, 14, 61, 9, 84"
"Tom Gradgrind","22, 34, 71, 86, 63, 75, 8, 89, 95, 62, 19, 21, 70, 16, 18, 65, 80, 72, 85, 99, 4, 46, 48, 79, 66, 92, 60, 90, 102, 59, 97, 57, 64, 98, 61, 81, 39, 87, 56, 47"
