"Character","Node"
"Akerman",2
"Barnaby Rudge",83
"Dolly Varden",58
"Edward Chester",31
"Emma Haredale",31
"Gabriel Varden",59
"Gashford",36
"General Conway",1
"Geoffrey Haredale",67
"Herbert",1
"Hugh",94
"Joe Willet",51
"John Chester",42
"John Fielding",2
"John Grueby",15
"John Willet",102
"Lord Algernon Percy",1
"Lord George Gordon",29
"Mark Gilbert",2
"Martha Varden",42
"Mary Jones",13
"Miggs",44
"Mr Rudge",10
"Mrs Rudge",4
"Ned Dennis",66
"Peak",4
"Phil Parkes",12
"Philips",1
"Simon Tappertit",24
"Solomon Daisy",17
"Stagg",9
"The Black Lion",10
"Tom Cobb",13
"Tom Green",1
