"","empEntropy","evenness_log2","entropy","evenness"
"1",0,1,0,1
"2",0,1,0,1
"3",0,1,0,1
"4",0,1,0,1
"5",0,1,0,1
"6",0.721928094887362,0.500402423538188,0.500402423538188,0.721928094887362
"7",0.918295834054489,0.636514168294813,0.636514168294813,0.918295834054489
"8",1.37878349348618,0.6029794967879,0.955699891112534,0.869915529773626
"9",1.5,0.655990769729155,1.03972077083992,0.946394630357186
"10",1.53049305675748,0.669326212244979,1.06085694715802,0.965633607142825
"11",1.52192809488736,0.665580521625058,1.05492016798614,0.960229717860761
"12",1.49491884823395,0.653768643957074,1.03619878481928,0.943188780525573
"13",1.78415912785142,0.618342434570252,1.2366848691405,0.892079563925711
"14",1.8843135277998,0.653053304542697,1.30610660908539,0.9421567638999
"15",1.92417435230044,0.666868013601405,1.33373602720281,0.962087176150221
"16",1.9329145639794,0.669897140142788,1.33979428028558,0.966457281989699
"17",1.9237949406954,0.666736519559251,1.3334730391185,0.961897470347699
"18",1.90396781308777,0.659864960759335,1.31972992151867,0.951983906543883
"19",1.89106111207265,0.655391839049857,1.31078367809971,0.945530556036326
"20",1.87101912087884,0.648445814205458,1.29689162841092,0.93550956043942
"21",1.84643934467102,0.639927112916834,1.27985422583367,0.923219672335508
"22",2.03470908923938,0.607405919059862,1.41035286846597,0.876301507234266
"23",2.2089873002588,0.592330959787598,1.53115331906711,0.854552938250568
"24",2.28400652108628,0.612447058721282,1.58315268047148,0.883574334424225
"25",2.32393489628406,0.623153690126944,1.61082892116416,0.8990207384578
"26",2.34346518960165,0.628390658843055,1.62436628891276,0.906576087253825
"27",2.48852529489775,0.614426867923858,1.72491429191048,0.886430595342688
"28",2.55082176126247,0.629808115118604,1.76809491193004,0.908621044393236
"29",2.58361697539723,0.637905384913301,1.79082682214341,0.920302935370784
"30",2.59902323635768,0.641709252484087,1.80150562849111,0.925790756251357
"31",2.60291007964973,0.642668929669182,1.80419978296027,0.927175277767147
"32",2.59872695526901,0.641636099495966,1.80130026208984,0.925685218798168
"33",2.58871064191468,0.639163031589017,1.79435748272869,0.922117335993031
"34",2.57440093740915,0.635629908201333,1.78443875139603,0.91702011640277
"35",2.55690107603541,0.631309122298526,1.77230877182463,0.910786540008047
"36",2.53702427542495,0.626401460572736,1.75853122352294,0.90370628077389
"37",2.51538270118295,0.621058069165094,1.74353042735422,0.895997396488556
"38",2.49244458149433,0.615394555490857,1.72763093436471,0.887826673396728
"39",2.46857247817619,0.609500437515607,1.7110840532557,0.879323258623419
"40",2.44404981083319,0.603445692675524,1.69408623552709,0.870588108268783
"41",2.44806676080712,0.60443749372177,1.69687057307597,0.872018974719752
"42",2.44772349464719,0.604352739931266,1.69663263910504,0.871896700846495
"43",2.44392947226002,0.603415980599558,1.69400282318438,0.870545242804133
"44",2.43737522312814,0.601797710223144,1.68945976387794,0.868210572157264
"45",2.42859714786874,0.599630368263994,1.68337526576114,0.865083758660888
"46",2.41801934260833,0.597018665755291,1.67604328986838,0.861315868403304
"47",2.40598184204309,0.59404655862618,1.66769953029059,0.857028024187145
"48",2.50334022945124,0.578394407342138,1.73518322202641,0.834446743150414
"49",2.52208071490704,0.582724378894143,1.74817313668243,0.840693571635681
"50",2.53474126760567,0.585649587696603,1.75694876308981,0.844913755868555
"51",2.54265279579385,0.587477538849123,1.76243261654737,0.847550931931283
"52",2.52810064149375,0.584115277274393,1.75234583182318,0.842700213831249
"53",2.51280124140576,0.580580365262644,1.74174109578793,0.837600413801919
"54",2.50236473072905,0.578169019279164,1.73450705783749,0.834121576909685
"55",2.48745561948818,0.574724283138742,1.72417284941623,0.829151873162728
"56",2.49098431938927,0.57553958593457,1.72661875780371,0.830328106463091
"57",2.47624012916203,0.572132954639352,1.71639886391806,0.825413376387344
"58",2.467226532981,0.570050371712822,1.71015111513847,0.822408844326999
"59",2.45730065903541,0.567757007866162,1.70327102359849,0.819100219678469
"60",2.44660359521605,0.565285461323945,1.69585638397183,0.815534531738685
"61",2.4352554369534,0.562663480022508,1.68799044006752,0.811751812317799
"62",2.423358940042,0.559914805591618,1.67974441677485,0.807786313347335
"63",2.41100241698215,0.557059842551464,1.67117952765439,0.803667472327384
"64",2.39826206045707,0.5541161951499,1.6623485854497,0.799420686819022
"65",2.3852038265099,0.551099102468711,1.65329730740613,0.795067942169968
"66",2.37623046175411,0.549025814975172,1.64707744492551,0.792076820584702
"67",2.36671431670464,0.546827118604892,1.64048135581468,0.788904772234879
"68",2.37330078880039,0.548348916792561,1.64504675037768,0.791100262933463
"69",2.36368450460841,0.546127083367516,1.63838125010255,0.787894834869469
"70",2.35365841875907,0.543810565654676,1.63143169696403,0.784552806253023
"71",2.35899411009562,0.545043372123431,1.63513011637029,0.786331370031872
"72",2.36261999720752,0.545881129932981,1.63764338979894,0.787539999069175
"73",2.36475566796622,0.546374574654646,1.63912372396394,0.788251889322074
"74",2.36558559198617,0.546566327819481,1.63969898345844,0.788528530662057
"75",2.35669831208109,0.544512930149797,1.63353879044939,0.785566104027031
"76",2.34830797927145,0.542574351639476,1.62772305491843,0.782769326423817
"77",2.33956595594584,0.540554515365964,1.62166354609789,0.779855318648613
"78",2.33129753552834,0.538644104599273,1.61593231379782,0.777099178509447
"79",2.32271044803038,0.536660066103129,1.60998019830939,0.774236816010128
"80",2.31384421587095,0.534611531495296,1.60383459448589,0.771281405290318
"81",2.30473414565072,0.532506658332678,1.59751997499803,0.768244715216908
"82",2.29541183994474,0.530352748360539,1.59105824508162,0.765137279981581
