"","Character","Node","Type","Appearances"
"1","Abel Garland",44,"First Appearance",30
"2","Abel Garland",211,"Last Appearance",30
"3","Barbara",67,"First Appearance",15
"4","Barbara",211,"Last Appearance",15
"5","Becky Morgan",155,"First Appearance",2
"6","Becky Morgan",156,"Last Appearance",2
"7","Dame West",74,"First Appearance",1
"8","Dame West",74,"Last Appearance",1
"9","Daniel Quilp",211,"Last Appearance",65
"10","Daniel Quilp",9,"First Appearance",65
"11","David",155,"First Appearance",2
"12","David",156,"Last Appearance",2
"13","Dick Swiveller",6,"First Appearance",60
"14","Dick Swiveller",211,"Last Appearance",60
"15","Foxey",177,"First Appearance",1
"16","Foxey",177,"Last Appearance",1
"17","Frederick Trent",211,"Last Appearance",11
"18","Frederick Trent",19,"First Appearance",11
"19","George",77,"First Appearance",5
"20","George",138,"Last Appearance",5
"21","Harry",75,"First Appearance",1
"22","Harry",75,"Last Appearance",1
"23","Isaac List",85,"First Appearance",7
"24","Isaac List",211,"Last Appearance",7
"25","Jacob Nubbles",211,"Last Appearance",24
"26","Jacob Nubbles",42,"First Appearance",24
"27","James Groves",85,"First Appearance",4
"28","James Groves",211,"Last Appearance",4
"29","Jane Wackles",25,"First Appearance",2
"30","Jane Wackles",26,"Last Appearance",2
"31","Jerry",55,"First Appearance",4
"32","Jerry",109,"Last Appearance",4
"33","Joe Jowl",123,"First Appearance",3
"34","Joe Jowl",211,"Last Appearance",3
"35","John Owen",151,"Last Appearance",1
"36","John Owen",151,"First Appearance",1
"37","Kit Nubbles",3,"First Appearance",72
"38","Kit Nubbles",211,"Last Appearance",72
"39","Little Nell",3,"First Appearance",88
"40","Little Nell",211,"Last Appearance",88
"41","Maunders",57,"First Appearance",1
"42","Maunders",57,"Last Appearance",1
"43","Melissa Wackles",25,"Last Appearance",1
"44","Melissa Wackles",25,"First Appearance",1
"45","Miss Cheggs",25,"First Appearance",2
"46","Miss Cheggs",26,"Last Appearance",2
"47","Miss Edwards",92,"First Appearance",2
"48","Miss Edwards",94,"Last Appearance",2
"49","Miss Monflathers",84,"First Appearance",4
"50","Miss Monflathers",94,"Last Appearance",4
"51","Mr Cheggs",146,"Last Appearance",6
"52","Mr Cheggs",25,"First Appearance",6
"53","Mr Chuckster",44,"First Appearance",16
"54","Mr Chuckster",211,"Last Appearance",16
"55","Mr Garland",44,"First Appearance",29
"56","Mr Garland",211,"Last Appearance",29
"57","Mr Grinder",53,"First Appearance",1
"58","Mr Grinder",53,"Last Appearance",1
"59","Mr Harris",52,"First Appearance",11
"60","Mr Harris",109,"Last Appearance",11
"61","Mr Marton",151,"Last Appearance",1
"62","Mr Marton",151,"First Appearance",1
"63","Mr Slum",82,"First Appearance",3
"64","Mr Slum",138,"Last Appearance",3
"65","Mr Tomkinley",44,"First Appearance",1
"66","Mr Tomkinley",44,"Last Appearance",1
"67","Mr Vuffin",57,"First Appearance",1
"68","Mr Vuffin",57,"Last Appearance",1
"69","Mr Witherden",190,"Last Appearance",11
"70","Mr Witherden",44,"First Appearance",11
"71","Mrs Betsy Quilp",10,"First Appearance",21
"72","Mrs Betsy Quilp",210,"Last Appearance",21
"73","Mrs Garland",63,"First Appearance",11
"74","Mrs Garland",210,"Last Appearance",11
"75","Mrs George",13,"First Appearance",1
"76","Mrs George",13,"Last Appearance",1
"77","Mrs Henrietta Simmons",13,"Last Appearance",1
"78","Mrs Henrietta Simmons",13,"First Appearance",1
"79","Mrs Jarley",79,"First Appearance",12
"80","Mrs Jarley",211,"Last Appearance",12
"81","Mrs Jiniwin",12,"First Appearance",10
"82","Mrs Jiniwin",210,"Last Appearance",10
"83","Mrs Nubbles",32,"First Appearance",9
"84","Mrs Nubbles",173,"Last Appearance",9
"85","Mrs Wackles",25,"First Appearance",2
"86","Mrs Wackles",26,"Last Appearance",2
"87","Nell Trent",211,"Last Appearance",88
"88","Nell Trent",3,"First Appearance",88
"89","Nell's Grandfather",2,"First Appearance",52
"90","Nell's Grandfather",199,"Last Appearance",52
"91","Richard Evans",151,"First Appearance",1
"92","Richard Evans",151,"Last Appearance",1
"93","Sally Brass",96,"First Appearance",39
"94","Sally Brass",210,"Last Appearance",39
"95","Sampson Brass",209,"Last Appearance",53
"96","Sampson Brass",34,"First Appearance",53
"97","Sophia Wackles",22,"First Appearance",9
"98","Sophia Wackles",166,"Last Appearance",9
"99","Sophronia Sphynx",164,"First Appearance",14
"100","Sophronia Sphynx",211,"Last Appearance",14
"101","Sweet William",57,"First Appearance",1
"102","Sweet William",57,"Last Appearance",1
"103","The Bachelor",210,"Last Appearance",12
"104","The Bachelor",44,"First Appearance",12
"105","The Clergyman",149,"First Appearance",3
"106","The Clergyman",195,"Last Appearance",3
"107","Thomas Codlin",49,"First Appearance",22
"108","Thomas Codlin",211,"Last Appearance",22
"109","Tom Scott",54,"First Appearance",9
"110","Tom Scott",209,"Last Appearance",9
"111","Whisker",43,"First Appearance",6
"112","Whisker",185,"Last Appearance",6
