"Character","Node"
"Abel Garland",31
"Barbara",16
"Becky Morgan",2
"Dame West",1
"Daniel Quilp",76
"David",2
"Dick Swiveller",72
"Foxey",1
"Frederick Trent",13
"George",4
"Harry",1
"Isaac List",8
"Jacob Nubbles",24
"James Groves",5
"Jane Wackles",3
"Jerry",4
"Joe Jowl",3
"John Owen",1
"Kit Nubbles",81
"Little Nell",96
"Maunders",1
"Melissa Wackles",1
"Miss Cheggs",3
"Miss Edwards",3
"Miss Monflathers",4
"Mr Cheggs",6
"Mr Chuckster",16
"Mr Garland",32
"Mr Grinder",1
"Mr Harris",12
"Mr Marton",2
"Mr Slum",3
"Mr Tomkinley",1
"Mr Vuffin",1
"Mr Witherden",13
"Mrs Betsy Quilp",27
"Mrs Garland",12
"Mrs George",1
"Mrs Henrietta Simmons",2
"Mrs Jarley",15
"Mrs Jiniwin",10
"Mrs Nubbles",10
"Mrs Wackles",3
"Nell Trent",96
"Nell's Grandfather",61
"Richard Evans",1
"Sally Brass",49
"Sampson Brass",63
"Sophia Wackles",10
"Sophronia Sphynx",14
"Sweet William",1
"The Bachelor",11
"The Clergyman",4
"Thomas Codlin",23
"Tom Scott",10
"Whisker",6
