"","Character","Node","Type","Appearances"
"1","Abbey Potterson",22,"First Appearance",15
"2","Abbey Potterson",298,"Last Appearance",15
"3","Alfred Lammle",41,"First Appearance",38
"4","Alfred Lammle",304,"Last Appearance",38
"5","Analytical Chemist",4,"First Appearance",10
"6","Analytical Chemist",233,"Last Appearance",10
"7","Bella Wilfer",304,"Last Appearance",83
"8","Bella Wilfer",13,"First Appearance",83
"9","Betty Higden",71,"First Appearance",20
"10","Betty Higden",304,"Last Appearance",20
"11","Blight",31,"First Appearance",5
"12","Blight",298,"Last Appearance",5
"13","Bob Glamour",23,"First Appearance",3
"14","Bob Glamour",165,"Last Appearance",3
"15","Bob Gliddery",165,"Last Appearance",7
"16","Bob Gliddery",23,"First Appearance",7
"17","Boots Brewer",303,"Last Appearance",13
"18","Boots Brewer",4,"First Appearance",13
"19","Bradley Headstone",12,"First Appearance",43
"20","Bradley Headstone",297,"Last Appearance",43
"21","Captain Joey",133,"First Appearance",3
"22","Captain Joey",179,"Last Appearance",3
"23","Charley Hexam",263,"Last Appearance",18
"24","Charley Hexam",10,"First Appearance",18
"25","Eugene Wrayburn",302,"Last Appearance",69
"26","Eugene Wrayburn",4,"First Appearance",69
"27","Fledgeby",94,"First Appearance",31
"28","Fledgeby",298,"Last Appearance",31
"29","Gaffer Hexam",2,"First Appearance",17
"30","Gaffer Hexam",204,"Last Appearance",17
"31","George Jones",23,"First Appearance",7
"32","George Jones",287,"Last Appearance",7
"33","George Sampson",299,"Last Appearance",16
"34","George Sampson",13,"First Appearance",16
"35","Georgiana Podsnap",47,"First Appearance",19
"36","Georgiana Podsnap",240,"Last Appearance",19
"37","Gruff and Glum",247,"First Appearance",2
"38","Gruff and Glum",248,"Last Appearance",2
"39","Jack Mullins",23,"First Appearance",1
"40","Jack Mullins",23,"Last Appearance",1
"41","Jacob Kibble",283,"Last Appearance",3
"42","Jacob Kibble",11,"First Appearance",3
"43","Jenny Wren",300,"Last Appearance",39
"44","Jenny Wren",81,"First Appearance",39
"45","Job Potterson",283,"Last Appearance",2
"46","Job Potterson",11,"First Appearance",2
"47","John Harmon",9,"First Appearance",99
"48","John Harmon",304,"Last Appearance",99
"49","Johnny",300,"Last Appearance",11
"50","Johnny",71,"First Appearance",11
"51","Lady Tippins",303,"Last Appearance",21
"52","Lady Tippins",4,"First Appearance",21
"53","Lavinia Wilfer",299,"Last Appearance",23
"54","Lavinia Wilfer",13,"First Appearance",23
"55","Lizzie Hexam",1,"First Appearance",67
"56","Lizzie Hexam",301,"Last Appearance",67
"57","Lord Snigsworth",3,"First Appearance",11
"58","Lord Snigsworth",231,"Last Appearance",11
"59","Mary Anne",263,"Last Appearance",4
"60","Mary Anne",80,"First Appearance",4
"61","Melvin Twemlow",303,"Last Appearance",26
"62","Melvin Twemlow",3,"First Appearance",26
"63","Miss Peecher",79,"First Appearance",10
"64","Miss Peecher",295,"Last Appearance",10
"65","Mortimer Lightwood",4,"First Appearance",56
"66","Mortimer Lightwood",303,"Last Appearance",56
"67","Mr Boffin",304,"Last Appearance",94
"68","Mr Boffin",17,"First Appearance",94
"69","Mr Dolls",271,"Last Appearance",9
"70","Mr Dolls",87,"First Appearance",9
"71","Mr Grompus",49,"Last Appearance",1
"72","Mr Grompus",49,"First Appearance",1
"73","Mr Inspector",9,"First Appearance",14
"74","Mr Inspector",298,"Last Appearance",14
"75","Mr Podsnap",233,"Last Appearance",17
"76","Mr Podsnap",6,"First Appearance",17
"77","Mr Riah",298,"Last Appearance",30
"78","Mr Riah",100,"First Appearance",30
"79","Mr Veneering",303,"Last Appearance",33
"80","Mr Veneering",3,"First Appearance",33
"81","Mr Wilfer",12,"First Appearance",36
"82","Mr Wilfer",298,"Last Appearance",36
"83","Mrs  Veneering",3,"First Appearance",23
"84","Mrs  Veneering",303,"Last Appearance",23
"85","Mrs Boffin",18,"First Appearance",76
"86","Mrs Boffin",304,"Last Appearance",76
"87","Mrs Milvey",279,"Last Appearance",12
"88","Mrs Milvey",37,"First Appearance",12
"89","Mrs Podsnap",3,"First Appearance",13
"90","Mrs Podsnap",303,"Last Appearance",13
"91","Mrs Sprodgkin",277,"First Appearance",1
"92","Mrs Sprodgkin",277,"Last Appearance",1
"93","Mrs Swoshle",76,"First Appearance",1
"94","Mrs Swoshle",76,"Last Appearance",1
"95","Mrs Wilfer",299,"Last Appearance",24
"96","Mrs Wilfer",12,"First Appearance",24
"97","MrVenus",293,"Last Appearance",30
"98","MrVenus",28,"First Appearance",30
"99","Pleasant Riderhood",129,"First Appearance",10
"100","Pleasant Riderhood",290,"Last Appearance",10
"101","Poddles",72,"First Appearance",2
"102","Poddles",73,"Last Appearance",2
"103","Reverend  FrankMilvey",294,"Last Appearance",12
"104","Reverend  FrankMilvey",37,"First Appearance",12
"105","Rogue Riderhood",304,"Last Appearance",42
"106","Rogue Riderhood",22,"First Appearance",42
"107","Silas Wegg",16,"First Appearance",39
"108","Silas Wegg",293,"Last Appearance",39
"109","Sloppy",71,"First Appearance",22
"110","Sloppy",300,"Last Appearance",22
"111","Sophronia Akershem",41,"First Appearance",36
"112","Sophronia Akershem",304,"Last Appearance",36
"113","The Tapkins",76,"Last Appearance",1
"114","The Tapkins",76,"First Appearance",1
"115","Toddles",72,"First Appearance",2
"116","Toddles",73,"Last Appearance",2
"117","Tom Tootle",23,"First Appearance",4
"118","Tom Tootle",165,"Last Appearance",4
"119","William Williams",164,"First Appearance",2
"120","William Williams",165,"Last Appearance",2
