"","x"
"1","Abbey Potterson"
"2","Alfred Lammle"
"3","Analytical Chemist"
"4","Bella Wilfer"
"5","Betty Higden"
"6","Blight"
"7","Bob Glamour"
"8","Bob Gliddery"
"9","Boots Brewer"
"10","Bradley Headstone"
"11","Captain Joey"
"12","Charley Hexam"
"13","Eugene Wrayburn"
"14","Fledgeby"
"15","Gaffer Hexam"
"16","George Jones"
"17","George Sampson"
"18","Georgiana Podsnap"
"19","Gruff and Glum"
"20","Jack Mullins"
"21","Jacob Kibble"
"22","Jenny Wren"
"23","Job Potterson"
"24","John Harmon"
"25","Johnny"
"26","Lady Tippins"
"27","Lavinia Wilfer"
"28","Lizzie Hexam"
"29","Lord Snigsworth"
"30","Mary Anne"
"31","Melvin Twemlow"
"32","Miss Peecher"
"33","Mortimer Lightwood"
"34","Mr Boffin"
"35","Mr Dolls"
"36","Mr Grompus"
"37","Mr Inspector"
"38","Mr Podsnap"
"39","Mr Riah"
"40","Mr Veneering"
"41","Mr Wilfer"
"42","Mrs  Veneering"
"43","Mrs Boffin"
"44","Mrs Milvey"
"45","Mrs Podsnap"
"46","Mrs Sprodgkin"
"47","Mrs Swoshle"
"48","Mrs Wilfer"
"49","MrVenus"
"50","Pleasant Riderhood"
"51","Poddles"
"52","Reverend  FrankMilvey"
"53","Rogue Riderhood"
"54","Silas Wegg"
"55","Sloppy"
"56","Tom Tootle"
"57","William Williams"
"58","Sophronia Akershem"
"59","The Tapkins"
"60","Toddles"
