"","Entropy","evenness_log2","entropy","evenness","Node"
"1",0,1,0,1,1
"2",0,1,0,1,2
"3",1,0.693147180559945,0.693147180559945,1,3
"4",0.918295834054489,0.636514168294813,0.636514168294813,0.918295834054489,4
"5",1,0.693147180559945,0.693147180559945,1,5
"6",0.970950594454669,0.673011667009257,0.673011667009257,0.970950594454669,6
"7",0.918295834054489,0.636514168294813,0.636514168294813,0.918295834054489,7
"8",0.985228136034252,0.682908104700472,0.682908104700472,0.985228136034252,8
"9",1,0.693147180559945,0.693147180559945,1,9
"10",0.991076059838222,0.686961576597323,0.686961576597323,0.991076059838222,10
"11",0.970950594454669,0.673011667009257,0.673011667009257,0.970950594454669,11
"12",0.994030211476957,0.689009238476659,0.689009238476659,0.994030211476957,12
"13",1,0.693147180559945,0.693147180559945,1,13
"14",0.995727452084926,0.690185676018804,0.690185676018804,0.995727452084926,14
"15",1,0.693147180559945,0.693147180559945,1,15
"16",0.996791631981637,0.690923309313818,0.690923309313818,0.996791631981637,16
"17",0.988699408288497,0.685314207276458,0.685314207276458,0.988699408288497,17
"18",0.977417817528172,0.677494404448707,0.677494404448707,0.977417817528172,18
"19",1.23266025681582,0.539075833788766,0.854414981600184,0.777722032070135,19
"20",1.46525565011323,0.507818911337756,1.01563782267551,0.732627825056613,20
"21",1.57838982472352,0.547028228415807,1.09405645683161,0.78919491236176,21
"22",1.77942383214653,0.5311975917727,1.23340261227354,0.766356131382634,22
"23",1.87439682757926,0.559549143295109,1.29923287628707,0.807258774165522,23
"24",1.84072577086512,0.549497583955581,1.27589387825919,0.792757439353184,24
"25",1.80700273142711,0.539430506616779,1.25251884855282,0.778233716800248,25
"26",1.8668193111659,0.557287086106892,1.2939805421495,0.803995315477873,26
"27",2.03021195024799,0.544393076828353,1.4072356892535,0.78539319223455,27
"28",2.02250092768875,0.542325397492703,1.40189081570733,0.782410161510858,28
"29",2.05665670746282,0.5514841309148,1.42556579815756,0.795623420799742,29
"30",2.07766408191755,0.557117172929993,1.44012700053182,0.80375018258018,30
"31",2.21925091283883,0.54794194389282,1.53826751318932,0.79051312514923,31
"32",2.2274438906133,0.549964822938196,1.54394645263408,0.793431522716313,32
"33",2.22903017302947,0.550356482423678,1.54504597981842,0.793996567913734,33
"34",2.22561987667197,0.549514466586458,1.54268214251335,0.792781795841027,34
"35",2.29277019393699,0.566094149019998,1.5892271955993,0.81670122146741,35
"36",2.28502944489826,0.564182927061756,1.58386171722769,0.813943911026215,36
"37",2.27440191928877,0.561558948399611,1.57649527781514,0.81015831002294,37
"38",2.39218766407415,0.552712711574427,1.65813813472328,0.797395888024718,38
"39",2.37757757097874,0.549337063295492,1.64801118988648,0.792525856992913,39
"40",2.41801285178975,0.558679596925258,1.67603879077578,0.806004283929915,40
"41",2.39906930381216,0.554302707968437,1.66290812390531,0.799689767937388,41
"42",2.38486532543146,0.551020892112664,1.65306267633799,0.794955108477154,42
"43",2.36666488897819,0.54681569837515,1.64044709512545,0.788888296326065,43
"44",2.36564309347873,0.546579613485297,1.63973884045589,0.788547697826245,44
"45",2.39461698385454,0.553274003626579,1.65982201087974,0.798205661284848,45
"46",2.41493122066572,0.55796758895021,1.67390276685063,0.80497707355524,46
"47",2.42874415312727,0.561159054013874,1.68347716204162,0.809581384375757,47
"48",2.43749675838308,0.563181335232412,1.68954400569724,0.812498919461025,48
"49",2.4223850338427,0.559689785479559,1.67906935643868,0.807461677947568,49
"50",2.40653924256341,0.556028630296566,1.6680858908897,0.802179747521138,50
"51",2.41287868934203,0.557493353516868,1.6724800605506,0.804292896447344,51
"52",2.41599004717511,0.558212229820106,1.67463668946032,0.805330015725038,52
"53",2.41643671870824,0.558315432858047,1.67494629857414,0.80547890623608,53
"54",2.4146634200982,0.557905713880767,1.6737171416423,0.8048878066994,54
"55",2.41102777938035,0.557065702509731,1.67119710752919,0.803675926460116,55
"56",2.46193380388305,0.568827491628919,1.70648247488676,0.82064460129435,56
"57",2.49801005540668,0.57716287563851,1.73148862691553,0.832670018468892,57
"58",2.49237284118874,0.575860402591384,1.72758120777415,0.830790947062912,58
"59",2.57505894582357,0.563071633322916,1.78489484807327,0.81234065306022,59
"60",2.65536374665621,0.554063134957246,1.84055789435584,0.799344137142211,60
"61",2.73339928128131,0.547676096546473,1.89464800516472,0.790129588501022,61
"62",2.77648358576563,0.556308660352275,1.92451176934442,0.80258374549381,62
"63",2.80638394971275,0.562299630908248,1.94523712231208,0.811226889005024,63
"64",2.79870003954791,0.560760048325451,1.93991104164564,0.809005740847784,64
"65",2.82038054395605,0.565104051086673,1.95493882214926,0.815272812089006,65
"66",2.8117078474933,0.563366350861982,1.94892736704825,0.812765840592294,66
"67",2.80363426583183,0.561748691956536,1.94333118668258,0.810432052111557,67
"68",2.87369888698378,0.555625416134861,1.99189628129106,0.80159803244963,68
"69",2.94201945400391,0.55108382922658,2.03925248969532,0.795045907539288,69
"70",2.97968169833241,0.558138525548718,2.06535796816518,0.805223682938213,70
