"Character","Node"
"Bazzard","41, 39, 75, 76, 40, 37, 38"
"Deputy","15, 70, 16, 90, 46"
"Dick Datchery","90, 70, 91, 89, 68, 69"
"Durdles","55, 15, 44, 70, 13, 16, 42, 46, 45, 89, 14, 43"
"Edwin Drood","52, 41, 35, 4, 50, 86, 5, 24, 7, 60, 6, 34, 27, 11, 61, 38, 36, 9, 10, 53, 47, 37, 31, 40, 39, 29, 22, 92, 25, 49, 66, 57, 89"
"Helena Landless","24, 23, 22, 80, 74, 32, 71, 58, 34, 65, 51, 50, 27, 78, 52, 33, 79, 76, 35, 47, 19, 28, 81, 49, 18, 72"
"Hiram Grewgious","64, 30, 75, 58, 31, 47, 38, 86, 49, 82, 41, 76, 59, 40, 78, 67, 81, 60, 79, 39, 77, 29, 37, 66, 83, 80, 52, 61, 28"
"Jack Chinaman","1, 86"
"Joe","74, 19, 56"
"John Jasper","86, 36, 29, 32, 13, 90, 4, 55, 58, 45, 61, 59, 16, 50, 56, 69, 46, 25, 40, 18, 49, 66, 15, 12, 44, 71, 22, 6, 53, 54, 62, 31, 81, 7, 60, 24, 30, 14, 42, 57, 35, 5, 89, 43, 76, 26"
"Lieutenant Tartar","81, 83, 78, 66, 67, 79, 80"
"Lobley","83"
"Luke Honeythunder","64, 22, 18, 19, 63, 17"
"Miss Brobity","13"
"Miss Dean","4"
"Miss Ferdinand","30, 47, 28"
"Miss Giggles","47, 28"
"Miss Jennings","27"
"Miss Rickitts","47"
"Miss Twinkleton","49, 47, 85, 18, 71, 20, 22, 8, 81, 74, 78, 27, 28, 29, 84, 48, 83, 9, 10, 30"
"Mr Porters","9"
"Mr Tope","42, 4, 43, 69, 59, 55, 90, 51, 22, 19"
"Mrs Billickin","85, 82, 84, 83"
"Mrs Crisparkle","26, 19, 61, 32, 33, 64, 17, 22, 18"
"Mrs Dean","4"
"Mrs Tisher","48, 27, 22, 8, 47, 71, 10, 9"
"Mrs Tope","69, 68, 59, 90, 5, 51"
"Neville Landless","34, 66, 44, 72, 24, 81, 56, 26, 76, 67, 57, 18, 64, 19, 79, 25, 62, 60, 22, 32, 55, 52, 86, 43, 61, 65, 33, 21, 17, 51, 27, 80, 35, 78, 36, 54"
"Princess Puffer","90"
"Rosa Bud","38, 76, 23, 34, 77, 52, 83, 9, 73, 22, 84, 30, 11, 81, 72, 79, 39, 74, 49, 82, 86, 78, 29, 40, 28, 24, 58, 10, 85, 48, 50, 27, 71, 75, 8, 80, 47"
"Septimus Crisparkle","56, 18, 60, 63, 61, 55, 81, 32, 26, 64, 35, 20, 47, 57, 19, 43, 62, 22, 21, 79, 86, 44, 74, 17, 34, 36, 51, 54, 72, 33, 4, 52, 66, 65, 24, 90, 78, 80, 5, 59"
"The Dean","61, 62, 51, 90, 43, 13, 4, 69, 12, 42"
"Thomas Sapsea","43, 93, 69, 57, 12, 42, 14, 15, 59, 54, 70, 13, 18, 92, 71, 16, 61, 53"
