"","x"
"1","Adams"
"2","Agnes Wickfield"
"3","Annie Strong"
"4","Barkis"
"5","Captain Bailey"
"6","Captain Hopkins"
"7","Caroline Crewler"
"8","Charley Pyegrave"
"9","Clara Copperfield"
"10","Clara Peggotty"
"11","Clarissa Spenlow"
"12","Daniel Peggotty"
"13","David Copperfield"
"14","Doctor Strong"
"15","George Demple"
"16","Grainger"
"17","Gregory"
"18","Ham Peggotty"
"19","Jack Maldon"
"20","James Steerforth"
"21","Jane Murdstone"
"22","Janet"
"23","Julia Mills"
"24","Lavinia Spenlow"
"25","Littimer"
"26","Little Emily"
"27","Markham"
"28","Martha Endell"
"29","Mary Anne Paragon"
"30","Mealy Potatoes"
"31","Mick Walker"
"32","Minnie Joram"
"33","Miss Betsey Trotwood"
"34","Miss Creakle"
"35","Miss Kitt"
"36","Miss Larkins"
"37","Miss Micawber"
"38","Miss Mowcher"
"39","Miss Shepherd"
"40","Misses Nettingall"
"41","Mr Chestle"
"42","Mr Chillip"
"43","Mr Creakle"
"44","Mr Dick"
"45","Mr Dolloby"
"46","Mr Grayper"
"47","Mr Gulpidge"
"48","Mr Gummidge"
"49","Mr Henry Spiker"
"50","Mr Joram"
"51","Mr Jorkins"
"52","Mr Mell"
"53","Mr Micawber"
"54","Mr Mills"
"55","Mr Murdstone"
"56","Mr Omer"
"57","Mr Passnidge"
"58","Mr Quinion"
"59","Mr Sharp"
"60","Mr Spenlow"
"61","Mr Tiffey"
"62","Mr Waterbrook"
"63","Mr Wickfield"
"64","Mrs Creakle"
"65","Mrs Crewler"
"66","Mrs Crupp"
"67","Mrs Gulpidge"
"68","Mrs Gummidge"
"69","Mrs Heep"
"70","Mrs Henry Spiker"
"71","Mrs Markleham"
"72","Mrs Mell"
"73","Mrs Micawber"
"74","Mrs Steerforth"
"75","Mrs Waterbrook"
"76","Reverend Crewler"
"77","Rosa Dartle"
"78","Sarah Crewler"
"79","Sophy Crewler"
"80","Tommy Traddles"
"81","Uriah"
"82","Mr Larkins"
"83","William"
"84","Mrs Grayper"
"85","Topsawyer"
"86","Tom Jones"
"87","Mrs Chillip"
"88","Mrs Fibbitson"
"89","Tipp"
"90","Tungay"
"91","Mithers"
"92","Yawler"
