"","x"
"1","Ada Clare"
"2","Alfred Pardiggle"
"3","Allan Woodcourt"
"4","Arethusa Skimpole"
"5","Bartholomew Smallweed"
"6","Bob Stables"
"7","Captain Hawden"
"8","Captain Swosser"
"9","Caroline Caddy"
"10","Charley"
"11","Coavinses"
"12","Conversation Kenge"
"13","Darby"
"14","Egbert Pardiggle"
"15","Emma Neckett"
"16","Esther Summerson"
"17","Francis Pardiggle"
"18","George Rouncewell"
"19","Grandfather Smallweed"
"20","Guster"
"21","Inspector Bucket"
"22","James George Bogsby"
"23","Jenny"
"24","Jo"
"25","Jobling"
"26","John Jarndyce"
"27","Judy Smallweed"
"28","Kitty Skimpole"
"29","Krook"
"30","Lady Dedlock"
"31","Laura Skimpole"
"32","Lawrence Boythorn"
"33","Little Swills"
"34","Liz"
"35","Lord Boodle"
"36","Mademoiselle Hortense"
"37","Malta Bagnet"
"38","Matthew Bagnet"
"39","Mercury"
"40","Miss Barbary"
"41","Miss Flite"
"42","Miss Wisk"
"43","Mooney"
"44","Mr Badger"
"45","Mr Gridley"
"46","Mr Grubble"
"47","Mr Gusher"
"48","Mr Jellby"
"49","Mr Pardiggle"
"50","Mr Quale"
"51","Mr Rouncewell"
"52","Mr Skimpole"
"53","Mr Snagsby"
"54","Mr Tulkinghorn"
"55","Mr Turveydrop"
"56","Mrs Badger"
"57","Mrs Bagnet"
"58","Mrs Blinder"
"59","Mrs Bucket"
"60","Mrs Chadband"
"61","Mrs Guppy"
"62","Mrs Pardiggle"
"63","Mrs Perkins"
"64","Mrs Piper"
"65","Mrs Rouncewell"
"66","Mrs Skimpole"
"67","Mrs Smallweed"
"68","Mrs Snagsby"
"69","Mrs Woodcourt"
"70","Oswald Pardiggle"
"71","Peepy Jellby"
"72","Phil Squod"
"73","Polly"
"74","Prince Turvey"
"75","Priscilla"
"76","Professor Dingo"
"77","Quebec Bagnet"
"78","Reverend Chadband"
"79","Richard Carstone"
"80","Rosa"
"81","Sir Dedlock"
"82","Sladdery"
"83","Thomas"
"84","Vholes"
"85","Volumnia Dedlock"
"86","Watt Rouncewell"
"87","Tom Neckett"
"88","William Guppy"
"89","William Buffy"
"90","Miss Donny"
"91","Woolwich Bagnet"
"92","Peffer"
"93","Mr Tangle"
