"Character","Node"
"Alex Macstinger",8
"Alice Brown",14
"Anne",1
"Barnet Skettles Jr",5
"Berinthia",5
"Bill Bitherstone",1
"Briggs",9
"Captain Bunsby",11
"Captain Cuttle",73
"Charles Macstinger",2
"Cornelia Blimber",22
"Cousin Feenix",21
"Diogenes",24
"Doctor Blimber",23
"Doctor Parker Peps",2
"Florence Dombey",191
"Flowers",5
"Harriet Carker",19
"James Carker",9
"Jemima",4
"Joe",1
"John",8
"Johnson",4
"Juliana Macstinger",4
"Kate",1
"Lady Skettles",8
"Lucretia Tox",50
"Major Bagstock",50
"Martha",1
"Mary Daws",2
"Master Bitherstone",11
"Melia",1
"Miss Pankey",3
"Mr Baps",2
"Mr Brogley",7
"Mr Carker",74
"Mr Chick",11
"Mr Clark",1
"Mr Dombey",150
"Mr Feeder",19
"Mr Morfin",6
"Mr Perch",19
"Mr Pilkins",4
"Mr Sownds",6
"Mr Toodle",9
"Mr Toots",60
"Mrs Baps",2
"Mrs Blimber",20
"Mrs Blockitt",1
"Mrs Bokum",2
"Mrs Brown",13
"Mrs Chick",40
"Mrs Dombey I",9
"Mrs Dombey II",80
"Mrs Miff",6
"Mrs Perch",16
"Mrs Polly Toodle",39
"Mrs Skewton",36
"Mrs Wickam",14
"Old Glubb",3
"Paul Dombey",80
"Reverend Feeder",1
"Reverend Melchisedech",3
"Robin Toodle",29
"Sir Barnet Skettles",4
"Solomon Gills",31
"Susan Nipper",66
"The Game Chicken",1
"The Native",13
"Towlinson",21
"Tozer",7
"Walter Gay",81
"Withers",12
