"","Character","Node","Type","Appearances"
"1","Affery Flintwinch",13,"First Appearance",35
"2","Affery Flintwinch",314,"Last Appearance",35
"3","Amy Dorrit",20,"First Appearance",134
"4","Amy Dorrit",319,"Last Appearance",134
"5","Anastasia Rugg",112,"First Appearance",4
"6","Anastasia Rugg",156,"Last Appearance",4
"7","Arthur Clennam",319,"Last Appearance",183
"8","Arthur Clennam",7,"First Appearance",183
"9","Augustus Stiltstalking",118,"First Appearance",1
"10","Augustus Stiltstalking",118,"Last Appearance",1
"11","Bob",26,"First Appearance",4
"12","Bob",249,"Last Appearance",4
"13","Captain Maroon",52,"First Appearance",1
"14","Captain Maroon",52,"Last Appearance",1
"15","Captain Martin",86,"Last Appearance",2
"16","Captain Martin",85,"First Appearance",2
"17","Christopher Casby",311,"Last Appearance",19
"18","Christopher Casby",51,"First Appearance",19
"19","Clarence Barnacle",40,"First Appearance",3
"20","Clarence Barnacle",117,"Last Appearance",3
"21","Daniel Doyce",44,"First Appearance",36
"22","Daniel Doyce",319,"Last Appearance",36
"23","Dawes",256,"Last Appearance",1
"24","Dawes",256,"First Appearance",1
"25","Edward Dorrit",320,"Last Appearance",24
"26","Edward Dorrit",28,"First Appearance",24
"27","Ephraim Flintwinch",303,"First Appearance",1
"28","Ephraim Flintwinch",303,"Last Appearance",1
"29","Fanny Dorrit",28,"First Appearance",64
"30","Fanny Dorrit",316,"Last Appearance",64
"31","Ferdinand Barnacle",40,"First Appearance",11
"32","Ferdinand Barnacle",286,"Last Appearance",11
"33","Flora Finching",319,"Last Appearance",29
"34","Flora Finching",54,"First Appearance",29
"35","Harriet Beadle",6,"First Appearance",16
"36","Harriet Beadle",315,"Last Appearance",16
"37","Henry Gowan",76,"First Appearance",40
"38","Henry Gowan",312,"Last Appearance",40
"39","Jeremiah Flintwinch",14,"First Appearance",40
"40","Jeremiah Flintwinch",307,"Last Appearance",40
"41","John Baptist Cavalletto",292,"Last Appearance",19
"42","John Baptist Cavalletto",2,"First Appearance",19
"43","John Chivery",277,"Last Appearance",1
"44","John Chivery",277,"First Appearance",1
"45","John Edward Nandy",221,"Last Appearance",8
"46","John Edward Nandy",138,"First Appearance",8
"47","Lady Stiltstalking",77,"First Appearance",1
"48","Lady Stiltstalking",77,"Last Appearance",1
"49","Lord Decimus Tite Barnacle",154,"Last Appearance",5
"50","Lord Decimus Tite Barnacle",54,"First Appearance",5
"51","Lord Lancaster Stiltstalking",118,"Last Appearance",1
"52","Lord Lancaster Stiltstalking",118,"First Appearance",1
"53","Madame Barronneau",4,"Last Appearance",1
"54","Madame Barronneau",4,"First Appearance",1
"55","Maggy",37,"First Appearance",28
"56","Maggy",319,"Last Appearance",28
"57","Minnie Meagles",6,"First Appearance",32
"58","Minnie Meagles",319,"Last Appearance",32
"59","Miss Tite Barnacles",153,"Last Appearance",1
"60","Miss Tite Barnacles",153,"First Appearance",1
"61","Miss Wade",314,"Last Appearance",19
"62","Miss Wade",8,"First Appearance",19
"63","Mr Cripples",34,"First Appearance",2
