"Character","Node"
"AbrahamDurbeyfieldTD",12
"Alecd'UrbervilleTD",39
"AmbySeedlingTD",2
"AngelClareTD",93
"BeckKnibbsTD",1
"BillLewellTD",1
"CarDarchTD",3
"CuthbertClareTD",6
"DairymanBillettTD",1
"DairymanCrickTD",31
"DeborahFyanderTD",3
"ElizabethTD",1
"FarmerGrobyTD",5
"FelixClareTD",3
"FrancesTD",1
"FredTD",1
"HopeModestyDurbeyfieldTD",2
"IzzHuettTD",30
"JackDollopTD",2
"JoanDurbeyfieldTD",27
"JohnDurbeyfieldTD",13
"JonathanKailTD",6
"LizaLuDurbeyfieldTD",1
"MarianTD",33
"MarlottVicarTD",1
"MattTD",1
"MercyChantTD",6
"MrsBrooksTD",2
"MrsClareTD",11
"MrsCrickTD",18
"MrsPitneyTD",2
"MrsRolliverTD",2
"NancyDarchTD",2
"ParsonTringhamTD",5
"RettyPriddleTD",18
"RevJamesClareTD",17
"SimonStokeTD",2
"SorrowDurbeyfieldTD",5
"TessDurbeyfieldTD",142
"WilliamDewyTD",1
