"","Character","Node","Type","Appearances"
"1","AdaClareBH",12,"First Appearance",112
"2","AdaClareBH",327,"Last Appearance",112
"3","AlfredParBH",39,"Last Appearance",1
"4","AlfredParBH",39,"First Appearance",1
"5","AllanWdctBH",328,"Last Appearance",43
"6","AllanWdctBH",74,"First Appearance",43
"7","ArethusaSkimpBH",308,"Last Appearance",3
"8","ArethusaSkimpBH",221,"First Appearance",3
"9","BartSmallweedBH",102,"First Appearance",8
"10","BartSmallweedBH",208,"Last Appearance",8
"11","BobStablesBH",293,"Last Appearance",4
"12","BobStablesBH",4,"First Appearance",4
"13","BogsbyBH",173,"Last Appearance",2
"14","BogsbyBH",170,"First Appearance",2
"15","BoythornBH",325,"Last Appearance",22
"16","BoythornBH",44,"First Appearance",22
"17","BucketBH",113,"First Appearance",45
"18","BucketBH",317,"Last Appearance",45
"19","BuffyBH",325,"Last Appearance",7
"20","BuffyBH",60,"First Appearance",7
"21","CaddyBH",327,"Last Appearance",35
"22","CaddyBH",15,"First Appearance",35
"23","CaptSwosserBH",86,"Last Appearance",3
"24","CaptSwosserBH",65,"First Appearance",3
"25","CarstoneBH",12,"First Appearance",92
"26","CarstoneBH",328,"Last Appearance",92
"27","CharleyBH",327,"Last Appearance",37
"28","CharleyBH",79,"First Appearance",37
"29","CoavinsesBH",29,"First Appearance",9
"30","CoavinsesBH",309,"Last Appearance",9
"31","ConvoKengeBH",8,"First Appearance",24
"32","ConvoKengeBH",323,"Last Appearance",24
"33","DarbyBH",115,"First Appearance",2
"34","DarbyBH",116,"Last Appearance",2
"35","EgbertParBH",39,"First Appearance",2
"36","EgbertParBH",40,"Last Appearance",2
"37","EmmaNeckettBH",79,"First Appearance",8
"38","EmmaNeckettBH",327,"Last Appearance",8
"39","EstherBH",7,"First Appearance",80
"40","EstherBH",328,"Last Appearance",80
"41","FrancisParBH",39,"First Appearance",2
"42","FrancisParBH",40,"Last Appearance",2
"43","GeorgeRouncewellBH",109,"First Appearance",39
"44","GeorgeRouncewellBH",317,"Last Appearance",39
"45","GrandpaSmallweedBH",102,"First Appearance",26
"46","GrandpaSmallweedBH",313,"Last Appearance",26
"47","GridleyBH",2,"First Appearance",21
"48","GridleyBH",305,"Last Appearance",21
"49","GuppyBH",14,"First Appearance",45
"50","GuppyBH",321,"Last Appearance",45
"51","GusterBH",49,"First Appearance",14
"52","GusterBH",301,"Last Appearance",14
"53","HortenseBH",275,"Last Appearance",12
"54","HortenseBH",59,"First Appearance",12
"55","JennyBH",42,"First Appearance",8
"56","JennyBH",291,"Last Appearance",8
"57","JoBH",56,"First Appearance",28
"58","JoBH",318,"Last Appearance",28
"59","JoblingBH",102,"First Appearance",21
"60","JoblingBH",321,"Last Appearance",21
"61","JohnJarndyceBH",9,"First Appearance",95
"62","JohnJarndyceBH",322,"Last Appearance",95
"63","JudySmallweedBH",107,"First Appearance",18
"64","JudySmallweedBH",237,"Last Appearance",18
