"","Character","Node","Type","Appearances"
"1","AdamsDC",86,"First Appearance",4
"2","AdamsDC",101,"Last Appearance",4
"3","AgnesDC",325,"Last Appearance",83
"4","AgnesDC",84,"First Appearance",83
"5","AnnieStrongDC",320,"Last Appearance",22
"6","AnnieStrongDC",86,"First Appearance",22
"7","BarkisDC",272,"Last Appearance",28
"8","BarkisDC",24,"First Appearance",28
"9","CaptBaileyDC",102,"Last Appearance",1
"10","CaptBaileyDC",102,"First Appearance",1
"11","CaptHopkinsDC",64,"Last Appearance",2
"12","CaptHopkinsDC",63,"First Appearance",2
"13","CarolineCrewlerDC",325,"Last Appearance",4
"14","CarolineCrewlerDC",306,"First Appearance",4
"15","CharleyPyegraveDC",124,"Last Appearance",2
"16","CharleyPyegraveDC",71,"First Appearance",2
"17","ClaraCoppDC",199,"Last Appearance",50
"18","ClaraCoppDC",1,"First Appearance",50
"19","ClaraPeggottyDC",324,"Last Appearance",91
"20","ClaraPeggottyDC",3,"First Appearance",91
"21","ClarissaSpenlowDC",257,"Last Appearance",10
"22","ClarissaSpenlowDC",206,"First Appearance",10
"23","DanielPeggottyDC",323,"Last Appearance",57
"24","DanielPeggottyDC",11,"First Appearance",57
"25","DavCopp1DC",309,"Last Appearance",14
"26","DavCopp1DC",2,"First Appearance",14
"27","DavCoppDC",6,"First Appearance",212
"28","DavCoppDC",324,"Last Appearance",212
"29","DrStrongDC",320,"Last Appearance",14
"30","DrStrongDC",86,"First Appearance",14
"31","GeorgDempleDC",26,"First Appearance",3
"32","GeorgDempleDC",39,"Last Appearance",3
"33","GraingerDC",134,"First Appearance",2
"34","GraingerDC",135,"Last Appearance",2
"35","GregoryDC",62,"First Appearance",1
"36","GregoryDC",62,"Last Appearance",1
"37","HamPeggottyDC",323,"Last Appearance",44
"38","HamPeggottyDC",3,"First Appearance",44
"39","JackMaldonDC",86,"First Appearance",15
"40","JackMaldonDC",324,"Last Appearance",15
"41","JaneMurdstoneDC",18,"First Appearance",34
"42","JaneMurdstoneDC",310,"Last Appearance",34
"43","JanetDC",73,"First Appearance",11
"44","JanetDC",311,"Last Appearance",11
"45","JipDC",284,"Last Appearance",31
"46","JipDC",146,"First Appearance",31
"47","JuliaMillsDC",179,"First Appearance",16
"48","JuliaMillsDC",324,"Last Appearance",16
"49","LaviniaSpenlowDC",206,"First Appearance",14
"50","LaviniaSpenlowDC",257,"Last Appearance",14
"51","LittimerDC",113,"First Appearance",12
"52","LittimerDC",316,"Last Appearance",12
"53","LittleEmlyDC",323,"Last Appearance",55
"54","LittleEmlyDC",12,"First Appearance",55
"55","MarkhamDC",136,"Last Appearance",3
"56","MarkhamDC",134,"First Appearance",3
"57","MarthaEndellDC",126,"First Appearance",12
"58","MarthaEndellDC",322,"Last Appearance",12
"59","MaryAnneDC",235,"First Appearance",3
"60","MaryAnneDC",237,"Last Appearance",3
"61","MealyPotatoesDC",59,"First Appearance",5
"62","MealyPotatoesDC",86,"Last Appearance",5
"63","MickWalkerDC",86,"Last Appearance",4
"64","MickWalkerDC",59,"First Appearance",4
"65","MinnieJoramDC",48,"First Appearance",9
"66","MinnieJoramDC",272,"Last Appearance",9
"67","MissBetseyTrotwoodDC",1,"First Appearance",119
"68","MissBetseyTrotwoodDC",324,"Last Appearance",119
"69","MissCreakleDC",29,"First Appearance",5
"70","MissCreakleDC",37,"Last Appearance",5
"71","MissesNettingallDC",100,"Last Appearance",1
"72","MissesNettingallDC",100,"First Appearance",1
"73","MissKittDC",182,"First Appearance",1
"74","MissKittDC",182,"Last Appearance",1
"75","MissLarkinsDC",101,"First Appearance",5
"76","MissLarkinsDC",312,"Last Appearance",5
"77","MissMicawberDC",60,"First Appearance",6
