"","Character","Node","Type","Appearances"
"1","AlfredJinglePP",4,"First Appearance",32
"2","AlfredJinglePP",281,"Last Appearance",32
"3","AraAllenPP",280,"Last Appearance",29
"4","AraAllenPP",137,"First Appearance",29
"5","BamberPP",103,"Last Appearance",7
"6","BamberPP",95,"First Appearance",7
"7","BantamPP",185,"Last Appearance",5
"8","BantamPP",175,"First Appearance",5
"9","BellerPP",162,"First Appearance",1
"10","BellerPP",162,"Last Appearance",1
"11","BenjAllenPP",280,"Last Appearance",21
"12","BenjAllenPP",145,"First Appearance",21
"13","BetsyPP",157,"First Appearance",2
"14","BetsyPP",228,"Last Appearance",2
"15","BillPP",203,"First Appearance",1
"16","BillPP",203,"Last Appearance",1
"17","BladudPP",178,"First Appearance",3
"18","BladudPP",180,"Last Appearance",3
"19","BlazoPP",263,"Last Appearance",1
"20","BlazoPP",263,"First Appearance",1
"21","BlottonPP",50,"First Appearance",2
"22","BlottonPP",51,"Last Appearance",2
"23","BobSawyerPP",145,"First Appearance",30
"24","BobSawyerPP",280,"Last Appearance",30
"25","BofferPP",273,"First Appearance",2
"26","BofferPP",274,"Last Appearance",2
"27","BroMordlinPP",163,"Last Appearance",1
"28","BroMordlinPP",163,"First Appearance",1
"29","BrooksPP",87,"First Appearance",1
"30","BrooksPP",87,"Last Appearance",1
"31","BroTadgerPP",163,"First Appearance",1
"32","BroTadgerPP",163,"Last Appearance",1
"33","BudgerPP",7,"First Appearance",1
"34","BudgerPP",7,"Last Appearance",1
"35","BullmanPP",91,"First Appearance",1
"36","BullmanPP",91,"Last Appearance",1
"37","BurtonPP",163,"Last Appearance",1
"38","BurtonPP",163,"First Appearance",1
"39","ChanceryPrisonerPP",209,"First Appearance",3
"40","ChanceryPrisonerPP",226,"Last Appearance",3
"41","CharleyPP",95,"First Appearance",1
"42","CharleyPP",95,"Last Appearance",1
"43","ClergymanPP",23,"First Appearance",10
"44","ClergymanPP",144,"Last Appearance",10
"45","ColBulderPP",15,"Last Appearance",2
"46","ColBulderPP",7,"First Appearance",2
"47","CountSmorltorkPP",69,"First Appearance",2
"48","CountSmorltorkPP",70,"Last Appearance",2
"49","CrookeyPP",198,"First Appearance",1
"50","CrookeyPP",198,"Last Appearance",1
"51","DocPaynePP",10,"First Appearance",3
"52","DocPaynePP",14,"Last Appearance",3
"53","DocSlammerPP",14,"Last Appearance",5
"54","DocSlammerPP",7,"First Appearance",5
"55","DodsonPP",83,"First Appearance",25
"56","DodsonPP",280,"Last Appearance",25
"57","DowSnuphanuphPP",176,"First Appearance",3
"58","DowSnuphanuphPP",178,"Last Appearance",3
"59","DubbleyPP",117,"First Appearance",4
"60","DubbleyPP",120,"Last Appearance",4
"61","EmilyWardlePP",17,"First Appearance",20
"62","EmilyWardlePP",279,"Last Appearance",20
"63","EmmaPP",138,"Last Appearance",6
"64","EmmaPP",21,"First Appearance",6
"65","FizkinPP",54,"First Appearance",5
"66","FizkinPP",81,"Last Appearance",5
"67","FlasherPP",273,"First Appearance",2
"68","FlasherPP",274,"Last Appearance",2
"69","FoggPP",83,"First Appearance",27
"70","FoggPP",280,"Last Appearance",27
"71","FrankSimmeryPP",274,"Last Appearance",2
