"","x"
"1","Affery Flintwinch"
"2","Amy Dorrit"
"3","Anastasia Rugg"
"4","Arthur Clennam"
"5","Augustus Stiltstalking"
"6","Bob"
"7","Captain Maroon"
"8","Christopher Casby"
"9","Clarence Barnacle"
"10","Daniel Doyce"
"11","Dawes"
"12","Edward Dorrit"
"13","Ephraim Flintwinch"
"14","Fanny Dorrit"
"15","Ferdinand Barnacle"
"16","Flora Finching"
"17","Harriet Beadle"
"18","Henry Gowan"
"19","Jeremiah Flintwinch"
"20","John Baptist Cavalletto"
"21","John Chivery"
"22","John Edward Nandy"
"23","Lady Stiltstalking"
"24","Lord Decimus Tite Barnacle"
"25","Lord Lancaster Stiltstalking"
"26","Madame Barronneau"
"27","Maggy"
"28","Minnie Meagles"
"29","Miss Tite Barnacles"
"30","Miss Wade"
"31","Mr Cripples"
"32","Mr Frederick Dorrit"
"33","Mr John Chivery"
"34","Mr Meagles"
"35","Mr Merdle"
"36","Mr Pancks"
"37","Mr Plornish"
"38","Mr Rugg"
"39","Mr Sparkler"
"40","Mr Tite Barnacle"
"41","Mr William Dorrit"
"42","Mrs Bangham"
"43","Mrs Captain Barbary"
"44","Mrs Clennam"
"45","Mrs General"
"46","Mrs Gowan"
"47","Mrs Meagles"
"48","Mrs Merdle"
"49","Mrs Plornish"
"50","Mrs Tickit"
"51","Physician"
"52","Rigaud"
"53","Captain Martin"
"54","Mrs Chivery"
"55","Slingo"
"56","Tinkler"
"57","Treasury"
"58","Mr Wobbler"
"59","Mrs Tite Barnacle"
"60","Tudor Stiltstalking"
