"Character","Node"
"Bazzard","49, 48, 92, 47, 46, 91"
"Deputy","56, 19, 84, 18, 85, 108, 55"
"Dick Datchery","85, 106, 83, 82, 109, 108, 84, 107"
"Durdles","54, 55, 19, 16, 53, 17, 84, 20, 107, 52, 18, 51, 66, 56"
"Edwin Drood","48, 69, 36, 70, 63, 65, 26, 46, 103, 33, 60, 58, 13, 107, 6, 43, 47, 38, 35, 11, 10, 27, 74, 30, 29, 31, 110, 44, 73, 59, 57, 49, 5, 79, 64, 12, 42, 7"
"Helena Landless","63, 92, 60, 43, 29, 22, 57, 40, 86, 26, 27, 94, 89, 42, 23, 79, 34, 64, 33, 97, 62, 96, 70, 88, 41, 93"
"Hiram Grewgious","91, 35, 72, 90, 64, 81, 48, 80, 97, 92, 58, 100, 45, 34, 73, 60, 79, 37, 78, 75, 103, 50, 38, 98, 46, 94, 36, 93, 49, 99, 47, 71, 70"
"Jack Chinaman","1, 103"
"Joe","23, 68, 90"
"John Jasper","4, 103, 66, 39, 18, 30, 5, 36, 19, 37, 97, 6, 69, 7, 8, 38, 14, 73, 83, 70, 60, 80, 74, 16, 52, 72, 91, 84, 17, 75, 22, 86, 15, 43, 54, 67, 29, 44, 20, 56, 31, 65, 49, 53, 108, 32, 106, 27, 59, 55, 26, 64, 51"
"Lieutenant Tartar","97, 99, 93, 81, 100, 96, 80, 94"
"Lobley","100, 99"
"Luke Honeythunder","24, 76, 21, 78, 26, 23, 22, 77"
"Miss Brobity","15"
"Miss Dean","4"
"Miss Ferdinand","34, 37, 57"
"Miss Giggles","57, 34"
"Miss Jennings","34"
"Miss Rickitts","57"
"Miss Twinkleton","99, 60, 100, 98, 57, 102, 101, 22, 90, 58, 24, 11, 10, 89, 27, 12, 93, 37, 9, 86, 33, 34, 35"
"Mr Porters","10"
"Mr Tope","26, 108, 51, 24, 72, 66, 4, 62, 52, 83"
"Mrs Billickin","102, 99, 101, 98, 100"
"Mrs Crisparkle","75, 21, 31, 40, 23, 26, 78, 39, 22, 27"
"Mrs Dean","4"
"Mrs Tisher","27, 58, 86, 34, 57, 11, 33, 10"
"Mrs Tope","82, 72, 62, 83, 108, 5"
"Neville Landless","74, 33, 53, 75, 94, 80, 77, 96, 68, 39, 26, 31, 42, 70, 79, 81, 29, 69, 23, 66, 63, 25, 92, 41, 43, 97, 73, 44, 88, 30, 78, 103, 67, 87, 62, 22"
"Princess Puffer","108"
"Rosa Bud","64, 87, 11, 94, 12, 93, 47, 90, 27, 88, 92, 26, 34, 10, 46, 60, 98, 86, 96, 97, 36, 58, 37, 100, 91, 49, 89, 102, 101, 70, 57, 99, 103, 41, 35, 33, 29, 59"
"Septimus Crisparkle","103, 42, 67, 77, 22, 5, 23, 66, 75, 29, 4, 57, 40, 76, 98, 21, 65, 87, 69, 26, 94, 25, 39, 79, 53, 74, 93, 62, 41, 31, 108, 73, 97, 32, 96, 43, 24, 78, 44, 89, 63, 80"
"The Dean","5, 62, 4, 51, 83, 108, 16, 75, 52, 14"
"Thomas Sapsea","86, 73, 19, 18, 83, 17, 111, 16, 74, 70, 84, 65, 22, 69, 51, 52, 110, 14, 15"
