"","Character","Node","Type","Appearances"
"1","Alfred Jingle",4,"First Appearance",32
"2","Alfred Jingle",281,"Last Appearance",32
"3","Angelo Cyrus Bantam",175,"First Appearance",5
"4","Angelo Cyrus Bantam",185,"Last Appearance",5
"5","Anthony Humm",163,"Last Appearance",2
"6","Anthony Humm",162,"First Appearance",2
"7","Arabella Allen",280,"Last Appearance",29
"8","Arabella Allen",137,"First Appearance",29
"9","Augustus Snodgrass",1,"First Appearance",75
"10","Augustus Snodgrass",281,"Last Appearance",75
"11","Benjamin Allen",145,"First Appearance",21
"12","Benjamin Allen",280,"Last Appearance",21
"13","Betsy",228,"Last Appearance",2
"14","Betsy",157,"First Appearance",2
"15","Bill",203,"Last Appearance",1
"16","Bill",203,"First Appearance",1
"17","Bob Sawyer",280,"Last Appearance",30
"18","Bob Sawyer",145,"First Appearance",30
"19","Boffer",274,"Last Appearance",2
"20","Boffer",273,"First Appearance",2
"21","Brooks",87,"Last Appearance",1
"22","Brooks",87,"First Appearance",1
"23","Brother Mordlin",163,"Last Appearance",1
"24","Brother Mordlin",163,"First Appearance",1
"25","Brother Tadger",163,"Last Appearance",1
"26","Brother Tadger",163,"First Appearance",1
"27","Bullman",91,"Last Appearance",1
"28","Bullman",91,"First Appearance",1
"29","Chancery Prisoner",209,"First Appearance",3
"30","Chancery Prisoner",226,"Last Appearance",3
"31","Charley",95,"Last Appearance",1
"32","Charley",95,"First Appearance",1
"33","Clergyman",144,"Last Appearance",10
"34","Clergyman",23,"First Appearance",10
"35","Colonel Bulder",15,"Last Appearance",2
"36","Colonel Bulder",7,"First Appearance",2
"37","Count Smorltork",69,"First Appearance",2
"38","Count Smorltork",70,"Last Appearance",2
"39","Crookey",198,"Last Appearance",1
"40","Crookey",198,"First Appearance",1
"41","Daniel Grummer",121,"Last Appearance",6
"42","Daniel Grummer",116,"First Appearance",6
"43","Doctor Payne",14,"Last Appearance",3
"44","Doctor Payne",10,"First Appearance",3
"45","Doctor Slammer",14,"Last Appearance",5
"46","Doctor Slammer",7,"First Appearance",5
"47","Dodson",280,"Last Appearance",25
"48","Dodson",83,"First Appearance",25
"49","Dowager Snuphanuph",178,"Last Appearance",3
"50","Dowager Snuphanuph",176,"First Appearance",3
"51","Dubbley",120,"Last Appearance",4
"52","Dubbley",117,"First Appearance",4
"53","Emily Wardle",279,"Last Appearance",20
"54","Emily Wardle",17,"First Appearance",20
"55","Emma",21,"First Appearance",6
"56","Emma",138,"Last Appearance",6
"57","Fogg",280,"Last Appearance",27
"58","Fogg",83,"First Appearance",27
"59","Frank Simmery",274,"Last Appearance",2
"60","Frank Simmery",273,"First Appearance",2
"61","Gabriel Grub",144,"Last Appearance",5
"62","Gabriel Grub",139,"First Appearance",5
"63","George Heyling",102,"First Appearance",2
"64","George Heyling",103,"Last Appearance",2
"65","Goodwin",82,"Last Appearance",1
"66","Goodwin",82,"First Appearance",1
"67","Harris",183,"Last Appearance",1
"68","Harris",183,"First Appearance",1
"69","Henry Beller",162,"Last Appearance",1
"70","Henry Beller",162,"First Appearance",1
"71","Hon Slumkey",255,"Last Appearance",7
"72","Hon Slumkey",54,"First Appearance",7
"73","Hon Snipe",7,"Last Appearance",1
"74","Hon Snipe",7,"First Appearance",1
"75","Horatio Fizkin",81,"Last Appearance",5
"76","Horatio Fizkin",54,"First Appearance",5
"77","Isabella Wardle",267,"Last Appearance",13
"78","Isabella Wardle",17,"First Appearance",13
"79","Jack Bamber",103,"Last Appearance",7
"80","Jack Bamber",95,"First Appearance",7
"81","Jack Hopkins",155,"First Appearance",4
"82","Jack Hopkins",158,"Last Appearance",4
"83","Jack Martin",243,"First Appearance",1
"84","Jack Martin",243,"Last Appearance",1
"85","Jackson",230,"Last Appearance",6
"86","Jackson",91,"First Appearance",6
"87","Jane1",21,"Last Appearance",1
"88","Jane1",21,"First Appearance",1
"89","Jem Hutley",11,"First Appearance",2
"90","Jem Hutley",12,"Last Appearance",2
