"Character","Node"
"Adams",4
"Agnes Wickfield",87
"Annie Strong",23
"Barkis",30
"Captain Bailey",1
"Captain Hopkins",2
"Caroline Crewler",3
"Charley Pyegrave",2
"Clara Copperfield",37
"Clara Peggotty",96
"Clarissa Spenlow",11
"Daniel Peggotty",62
"David Copperfield",234
"Doctor Strong",15
"George Demple",3
"Grainger",2
"Gregory",1
"Ham Peggotty",42
"Jack Maldon",16
"James Steerforth",70
"Jane Murdstone",38
"Janet",12
"Julia Mills",17
"Lavinia Spenlow",15
"Littimer",15
"Little Emily",59
"Markham",3
"Martha Endell",15
"Mary Anne Paragon",3
"Mealy Potatoes",5
"Mick Walker",4
"Minnie Joram",12
"Miss Betsey Trotwood",135
"Miss Creakle",5
"Miss Kitt",1
"Miss Larkins",5
"Miss Micawber",6
"Miss Mowcher",8
"Miss Shepherd",2
"Misses Nettingall",1
"Mithers",1
"Mr Chestle",1
"Mr Chillip",10
"Mr Creakle",20
"Mr Dick",51
"Mr Dolloby",1
"Mr Grayper",2
"Mr Gulpidge",2
"Mr Gummidge",5
"Mr Henry Spiker",3
"Mr Joram",10
"Mr Jorkins",9
"Mr Larkins",2
"Mr Mell",12
"Mr Micawber",62
"Mr Mills",3
"Mr Murdstone",36
"Mr Omer",14
"Mr Passnidge",1
"Mr Quinion",8
"Mr Sharp",5
"Mr Spenlow",26
"Mr Tiffey",7
"Mr Waterbrook",5
"Mr Wickfield",37
"Mrs Chillip",1
"Mrs Creakle",5
"Mrs Crewler",3
"Mrs Crupp",20
"Mrs Fibbitson",2
"Mrs Grayper",2
"Mrs Gulpidge",1
"Mrs Gummidge",31
"Mrs Heep",9
"Mrs Henry Spiker",3
"Mrs Markleham",14
"Mrs Mell",1
"Mrs Micawber",43
"Mrs Steerforth",14
"Mrs Waterbrook",2
"Reverend Crewler",3
"Rosa Dartle",26
"Sarah Crewler",2
"Sophy Crewler",14
"Tipp",3
"Tom Jones",2
"Tommy Traddles",82
"Topsawyer",1
"Tungay",6
"Uriah",54
"William",1
"Yawler",1
