"","x"
"1","Bazzard"
"2","Deputy"
"3","Dick Datchery"
"4","Durdles"
"5","Edwin Drood"
"6","Helena Landless"
"7","Hiram Grewgious"
"8","Jack Chinaman"
"9","Joe"
"10","John Jasper"
"11","Lieutenant Tartar"
"12","Lobley"
"13","Luke Honeythunder"
"14","Miss Brobity"
"15","Miss Dean"
"16","Miss Ferdinand"
"17","Miss Giggles"
"18","Miss Jennings"
"19","Miss Reynolds"
"20","Miss Rickitts"
"21","Miss Twinkleton"
"22","Mr Porters"
"23","Mr Tope"
"24","Mrs Billickin"
"25","Mrs Crisparkle"
"26","Mrs Dean"
"27","Mrs Tisher"
"28","Mrs Tope"
"29","Neville Landless"
"30","Princess Puffer"
"31","Rosa Bud"
"32","Septimus Crisparkle"
"33","The Dean"
"34","Thomas Sapsea"
