"Character","Node"
"Abel Magwitch",44
"Avenger",8
"Bentley Drummle",18
"Biddy",33
"Black Bill",1
"Camilla",9
"Clara Barley",11
"Compeyson",17
"Dunstable",1
"Estella",63
"Flopson",4
"Georiana Pocket",5
"Herbert Pocket",77
"Jack",3
"Joe Gargery",76
"John Wemmick",41
"Mary Anne",1
"Mike",3
"Millers",5
"Miss Havisham",58
"Miss Skiffins",6
"Molly",2
"Mr Camilla",5
"Mr Clarriker",3
"Mr Havisham",4
"Mr Hubble",7
"Mr Jaggers",48
"Mr Pocket",19
"Mr Trabb",6
"Mr Wopsle",26
"Mrs Brandley",2
"Mrs Coiler",1
"Mrs Hubble",6
"Mrs Joe Gargery",41
"Mrs Pocket",9
"Old Barley",6
"Orlick Dolge",18
"Pip",101
"Sarah Pocket",11
"Skiffins",1
"Startop",14
"The Aged",12
"Uncle Pumblechook",28
"William Potkins",2
