"","Character","Node","Type","Appearances"
"1","AbrahamDurbeyfieldTD",7,"First Appearance",12
"2","AbrahamDurbeyfieldTD",143,"Last Appearance",12
"3","Alecd'UrbervilleTD",151,"Last Appearance",39
"4","Alecd'UrbervilleTD",13,"First Appearance",39
"5","AmbySeedlingTD",134,"Last Appearance",2
"6","AmbySeedlingTD",123,"First Appearance",2
"7","AngelClareTD",158,"Last Appearance",93
"8","AngelClareTD",42,"First Appearance",93
"9","BeckKnibbsTD",68,"Last Appearance",1
"10","BeckKnibbsTD",68,"First Appearance",1
"11","BillLewellTD",53,"Last Appearance",1
"12","BillLewellTD",53,"First Appearance",1
"13","CarDarchTD",114,"Last Appearance",3
"14","CarDarchTD",24,"First Appearance",3
"15","CuthbertClareTD",153,"Last Appearance",6
"16","CuthbertClareTD",5,"First Appearance",6
"17","DairymanBillettTD",88,"Last Appearance",1
"18","DairymanBillettTD",88,"First Appearance",1
"19","DairymanCrickTD",134,"Last Appearance",31
"20","DairymanCrickTD",37,"First Appearance",31
"21","DeborahFyanderTD",64,"Last Appearance",3
"22","DeborahFyanderTD",50,"First Appearance",3
"23","ElizabethTD",21,"Last Appearance",1
"24","ElizabethTD",21,"First Appearance",1
"25","FarmerGrobyTD",142,"Last Appearance",5
"26","FarmerGrobyTD",124,"First Appearance",5
"27","FelixClareTD",5,"First Appearance",3
"28","FelixClareTD",63,"Last Appearance",3
"29","FrancesTD",53,"Last Appearance",1
"30","FrancesTD",53,"First Appearance",1
"31","FredTD",2,"Last Appearance",1
"32","FredTD",2,"First Appearance",1
"33","HopeModestyDurbeyfieldTD",11,"Last Appearance",2
"34","HopeModestyDurbeyfieldTD",7,"First Appearance",2
"35","IzzHuettTD",146,"Last Appearance",30
"36","IzzHuettTD",51,"First Appearance",30
"37","JackDollopTD",68,"Last Appearance",2
"38","JackDollopTD",51,"First Appearance",2
"39","JoanDurbeyfieldTD",148,"Last Appearance",27
"40","JoanDurbeyfieldTD",6,"First Appearance",27
"41","JohnDurbeyfieldTD",147,"Last Appearance",13
"42","JohnDurbeyfieldTD",1,"First Appearance",13
"43","JonathanKailTD",85,"Last Appearance",6
"44","JonathanKailTD",40,"First Appearance",6
"45","LizaLuDurbeyfieldTD",7,"Last Appearance",1
"46","LizaLuDurbeyfieldTD",7,"First Appearance",1
"47","MarianTD",146,"Last Appearance",33
"48","MarianTD",51,"First Appearance",33
"49","MarlottVicarTD",36,"Last Appearance",1
"50","MarlottVicarTD",36,"First Appearance",1
"51","MattTD",48,"Last Appearance",1
"52","MattTD",48,"First Appearance",1
"53","MercyChantTD",60,"First Appearance",6
"54","MercyChantTD",153,"Last Appearance",6
"55","MrsBrooksTD",152,"Last Appearance",2
"56","MrsBrooksTD",151,"First Appearance",2
"57","MrsClareTD",147,"Last Appearance",11
"58","MrsClareTD",61,"First Appearance",11
"59","MrsCrickTD",96,"Last Appearance",18
"60","MrsCrickTD",42,"First Appearance",18
"61","MrsPitneyTD",99,"Last Appearance",2
"62","MrsPitneyTD",84,"First Appearance",2
"63","MrsRolliverTD",9,"Last Appearance",2
"64","MrsRolliverTD",8,"First Appearance",2
"65","NancyDarchTD",25,"Last Appearance",2
"66","NancyDarchTD",24,"First Appearance",2
"67","ParsonTringhamTD",136,"Last Appearance",5
"68","ParsonTringhamTD",1,"First Appearance",5
"69","RettyPriddleTD",113,"Last Appearance",18
"70","RettyPriddleTD",48,"First Appearance",18
"71","RevJamesClareTD",145,"Last Appearance",17
"72","RevJamesClareTD",42,"First Appearance",17
"73","SimonStokeTD",63,"Last Appearance",2
"74","SimonStokeTD",13,"First Appearance",2
"75","SorrowDurbeyfieldTD",139,"Last Appearance",5
"76","SorrowDurbeyfieldTD",34,"First Appearance",5
"77","TessDurbeyfieldTD",158,"Last Appearance",142
"78","TessDurbeyfieldTD",3,"First Appearance",142
"79","WilliamDewyTD",41,"First Appearance",1
"80","WilliamDewyTD",41,"Last Appearance",1
