"","x"
"1","Adam Smith Gradgrind"
"2","Bitzer"
"3","Bounderby"
"4","E.W.B. Childers"
"5","Emma Gordon"
"6","Harthouse"
"7","Jane Gradgrind"
"8","Kidderminster"
"9","Lady Scadgers"
"10","Louisa Gradgrind"
"11","M’Choakumchild"
"12","Malthus Gradgrind"
"13","Mr Sleary"
"14","Mrs Blackpool"
"15","Mrs Gradgrind"
"16","Mrs Pegler"
"17","Mrs Sparsit"
"18","Nickits"
"19","Rachael"
"20","Signor Jupe"
"21","Sissy Jupe"
"22","Slackbridge"
"23","Stephen Blackpool"
"24","Thomas Gradgrind"
"25","Tom Gradgrind"
