"","Entropy","evenness_log2","entropy","evenness","Node"
"1",0,1,0,1,1
"2",0,1,0,1,2
"3",1,0.693147180559945,0.693147180559945,1,3
"4",0.918295834054489,0.636514168294813,0.636514168294813,0.918295834054489,4
"5",0.811278124459133,0.562335144618808,0.562335144618808,0.811278124459133,5
"6",1.37095059445467,0.599553957144641,0.950270539233235,0.864973520717927,6
"7",1.45914791702725,0.638125043492931,1.01140426470735,0.920619835714305,7
"8",1.44881563572518,0.633606456049999,1.00424247305408,0.914100892018565,8
"9",1.81127812445913,0.627741162589377,1.25548232517875,0.905639062229566,9
"10",1.89106111207265,0.655391839049857,1.31078367809971,0.945530556036326,10
"11",1.84643934467102,0.639927112916834,1.27985422583367,0.923219672335508,11
"12",1.78992907531,0.620342145976698,1.2406842919534,0.894964537655,12
"13",1.82501121082418,0.632500687636535,1.26500137527307,0.912505605412088,13
"14",1.92202314285157,0.666122461219266,1.33224492243853,0.961011571425787,14
"15",1.95919042341995,0.67900365908679,1.35800731817358,0.979595211709973,15
"16",1.9655962303576,0.681223742595814,1.36244748519163,0.982798115178801,16
"17",1.97721700146248,0.685251194959455,1.37050238991891,0.988608500731241,17
"18",1.97133528530698,0.683212747474435,1.36642549494887,0.98566764265349,18
"19",1.95468594694636,0.677442526503007,1.35488505300601,0.977342973473178,19
"20",1.93129528023287,0.669335939161073,1.33867187832215,0.965647640116437,20
"21",1.90370169605735,0.659772731624668,1.31954546324934,0.951850848028674,21
"22",2.08924466198827,0.623686000503533,1.44815404695709,0.899788699998318,22
"23",2.17013489242819,0.647833533447268,1.50422288212136,0.934626226025948,23
"24",2.33379987011787,0.625798942735947,1.61766679996337,0.902837031278707,24
"25",2.29771862615528,0.616123903923279,1.5926571874396,0.888878900763263,25
"26",2.26050383275577,0.606144908439672,1.56686185831961,0.87448225346601,26
"27",2.22281372654069,0.596038459757844,1.54073706746162,0.859901730071737,27
"28",2.26699256572739,0.607884835793912,1.5713595052843,0.876992438031478,28
"29",2.2924165012858,0.614702160705252,1.58898203453535,0.886827758873197,29
"30",2.42976458886514,0.599918614124455,1.68418447419627,0.865499609534331,30
"31",2.45144431962695,0.605271426529747,1.69921171844911,0.873222085446255,31
"32",2.51344184975955,0.620578865170814,1.74218513166221,0.895306051262433,32
"33",2.52271785144113,0.622869147159007,1.74861476607466,0.898610229729038,33
"34",2.52399523197136,0.623184537530947,1.74950017878769,0.899065241854579,34
"35",2.51937834907827,0.622044610642766,1.74629999942737,0.897420674986024,35
"36",2.555861295916,0.631052396420189,1.77158805116646,0.910416162856503,36
"37",2.6679872171086,0.616435939102933,1.8493078173088,0.889329072369532,37
"38",2.65760807423407,0.614037847896231,1.84211354368869,0.885869358078023,38
"39",2.64404328200697,0.610903715400532,1.8327111462016,0.88134776066899,39
"40",2.62802896936265,0.607203623514528,1.82161087054358,0.876009656454218,40
"41",2.60684412153417,0.602308884333559,1.80692665300068,0.868948040511389,41
"42",2.6599091037857,0.614569498611596,1.84370849583479,0.886636367928566,42
"43",2.63780491655714,0.609462346926248,1.82838704077874,0.879268305519046,43
"44",2.61494433995139,0.604180432186165,1.81254129655849,0.871648113317131,44
"45",2.62336542854251,0.606126116790892,1.81837835037268,0.874455142847505,45
"46",2.60102415434097,0.600964186383253,1.80289255914976,0.867008051446989,46
"47",2.57825883746214,0.595704281313549,1.78711284394065,0.859419612487381,47
"48",2.59515089572443,0.599607175499668,1.798821526499,0.865050298574809,48
"49",2.60592669947759,0.602096914829593,1.80629074448878,0.868642233159198,49
"50",2.611946009222,0.60348767068901,1.81046301206703,0.870648669740666,50
"51",2.61417732066744,0.604003213101464,1.81200963930439,0.871392440222481,51
"52",2.63137467668128,0.607976646046156,1.82392993813847,0.877124892227094,52
"53",2.64286820930088,0.610632215956139,1.83189664786842,0.880956069766961,53
"54",2.64989351286948,0.612255405743189,1.83676621722957,0.883297837623159,54
"55",2.6533329937308,0.613050094563728,1.83915028369118,0.8844443312436,55
"56",2.65384574137294,0.613168564424556,1.83950569327367,0.884615247124312,56
"57",2.65194020055336,0.612728291009046,1.83818487302714,0.88398006685112,57
"58",2.64801823766695,0.611822125170053,1.83546637551016,0.882672745888982,58
"59",2.72802080098319,0.596518821691369,1.89091992671038,0.860594745851066,59
"60",2.72156688895476,0.595107586118271,1.88644641578429,0.858558763288232,60
"61",2.71372959908855,0.593393856180963,1.8810140204103,0.856086373606254,61
"62",2.70472238077321,0.59142430548903,1.87477069243033,0.853244912590222,62
"63",2.69171597707355,0.588580278564247,1.86575534037669,0.849141849049684,63
"64",2.67814401254544,0.585612584078404,1.85634797142937,0.844860370932084,64
"65",2.66410101375627,0.582541891550067,1.84661410641205,0.840430298049357,65
"66",2.67407174272576,0.584722126940552,1.85352528908538,0.843575712835182,66
"67",2.66652086791912,0.583071025548372,1.84829142150239,0.841193677044679,67
"68",2.73863195769663,0.57143772106035,1.89827502006879,0.824410366350658,68
"69",2.72957643447286,0.569548212855548,1.89199820967773,0.821684382233871,69
