"Character","Node"
"Affery Flintwinch",35
"Amy Dorrit",134
"Anastasia Rugg",4
"Arthur Clennam",183
"Augustus Stiltstalking",1
"Bob",4
"Captain Maroon",1
"Captain Martin",2
"Christopher Casby",19
"Clarence Barnacle",3
"Daniel Doyce",36
"Dawes",1
"Edward Dorrit",24
"Ephraim Flintwinch",1
"Fanny Dorrit",64
"Ferdinand Barnacle",11
"Flora Finching",29
"Harriet Beadle",16
"Henry Gowan",40
"Jeremiah Flintwinch",40
"John Baptist Cavalletto",19
"John Chivery",1
"John Edward Nandy",8
"Lady Stiltstalking",1
"Lord Decimus Tite Barnacle",5
"Lord Lancaster Stiltstalking",1
"Madame Barronneau",1
"Maggy",28
"Minnie Meagles",32
"Miss Tite Barnacles",1
"Miss Wade",19
"Mr Cripples",2
"Mr Frederick Dorrit",15
"Mr John Chivery",25
"Mr Meagles",43
"Mr Merdle",40
"Mr Pancks",53
"Mr Plornish",17
"Mr Rugg",16
"Mr Sparkler",32
"Mr Tite Barnacle",9
"Mr William Dorrit",76
"Mr Wobbler",1
"Mrs Bangham",7
"Mrs Captain Barbary",1
"Mrs Chivery",6
"Mrs Clennam",33
"Mrs General",35
"Mrs Gowan",21
"Mrs Meagles",19
"Mrs Merdle",34
"Mrs Plornish",17
"Mrs Tickit",7
"Mrs Tite Barnacle",2
"Physician",5
"Rigaud",47
"Slingo",1
"Tinkler",4
"Treasury",5
"Tudor Stiltstalking",2
