"","V1","V2"
"212","72","Seth Pecksniff"
"213","73","Martin Sr"
"214","73","Seth Pecksniff"
"215","70","Augustus Moddle"
"216","70","Mr Jinkins"
"217","70","Mrs Todgers"
"218","74","Seth Pecksniff"
"219","75","Augustus Moddle"
"220","75","Mr Jinkins"
"221","75","Mrs Todgers"
"222","75","Seth Pecksniff"
"223","76","Mrs Todgers"
"224","76","Seth Pecksniff"
"225","72","Charity Pecksniff"
"226","57","Jonas Chuzzlewit"
"227","76","Mr Jinkins"
"228","77","Mrs Todgers"
"229","70","Young Bailey"
"230","78","Charity Pecksniff"
"231","78","Jonas Chuzzlewit"
"232","78","Young Bailey"
"233","57","Anthony Chuzzlewit"
"234","79","Charity Pecksniff"
"235","79","Jonas Chuzzlewit"
"236","78","Mr Jinkins"
"237","80","Anthony Chuzzlewit"
"238","80","Jonas Chuzzlewit"
"239","74","Martin Sr"
"240","81","Anthony Chuzzlewit"
"241","80","Charity Pecksniff"
"242","81","Chuffey"
"243","81","Jonas Chuzzlewit"
"244","82","Anthony Chuzzlewit"
"245","82","Charity Pecksniff"
"246","82","Jonas Chuzzlewit"
"247","80","Mr Jinkins"
"248","78","Mrs Todgers"
"249","77","Seth Pecksniff"
"250","76","Augustus Moddle"
"251","83","Mr Jinkins"
"252","83","Mrs Todgers"
"253","83","Seth Pecksniff"
"254","79","Young Bailey"
"255","83","Anthony Chuzzlewit"
"256","84","Augustus Moddle"
"257","83","Charity Pecksniff"
"258","84","Mr Jinkins"
"259","84","Seth Pecksniff"
"260","84","Young Bailey"
"261","85","Anthony Chuzzlewit"
"262","85","Augustus Moddle"
"263","83","Jonas Chuzzlewit"
"264","85","Mr Jinkins"
"265","84","Mrs Todgers"
"266","85","Seth Pecksniff"
"267","52","Martin Jr"
"268","63","Tom Pinch"
"269","43","John Westlock"
"270","54","Mark Tapley"
"271","87","Martin Jr"
"272","86","Seth Pecksniff"
"273","88","John Westlock"
"274","88","Martin Jr"
"275","81","Martin Sr"
"276","87","Tom Pinch"
"277","89","John Westlock"
"278","89","Martin Jr"
"279","88","Seth Pecksniff"
"280","90","John Westlock"
"281","90","Martin Jr"
"282","90","Seth Pecksniff"
"283","89","Tom Pinch"
"284","91","John Westlock"
"285","91","Martin Jr"
"286","91","Seth Pecksniff"
"287","52","Tigg Montague"
"288","91","Tom Pinch"
"289","92","John Westlock"
"290","92","Martin Jr"
"291","92","Seth Pecksniff"
"292","92","Tigg Montague"
"293","92","Tom Pinch"
"294","93","Martin Jr"
"295","93","Seth Pecksniff"
"296","93","Tom Pinch"
"297","94","Martin Jr"
"298","94","Seth Pecksniff"
"299","94","Tom Pinch"
"300","95","Martin Jr"
"301","95","Seth Pecksniff"
"302","95","Tom Pinch"
"303","96","Martin Jr"
"304","97","Martin Jr"
"305","89","Martin Sr"
"306","96","Seth Pecksniff"
"307","51","Chevy Slyme"
"308","98","Martin Jr"
"309","93","Tigg Montague"
"310","99","Chevy Slyme"
"311","99","Martin Jr"
"312","99","Tigg Montague"
"313","93","John Westlock"
"314","100","Martin Jr"
"315","88","Mark Tapley"
"316","101","Martin Jr"
"317","102","Mark Tapley"
"318","102","Martin Jr"
"319","96","Tom Pinch"
"320","103","Mark Tapley"
"321","103","Martin Jr"
"322","103","Tom Pinch"
"323","104","Mark Tapley"
"324","104","Martin Jr"
"325","98","Martin Sr"
"326","105","Mark Tapley"
"327","105","Martin Jr"
"328","98","Seth Pecksniff"
"329","106","Mark Tapley"
"330","106","Martin Jr"
"331","54","Mrs Lupin"
"332","107","Mark Tapley"
"333","107","Martin Jr"
"334","108","Mark Tapley"
"335","108","Martin Jr"
"336","109","Mark Tapley"
"337","109","Martin Jr"
"338","110","Mark Tapley"
"339","110","Martin Jr"
"340","111","Mark Tapley"
"341","111","Martin Jr"
"342","112","Mark Tapley"
"343","112","Martin Jr"
"344","113","Martin Jr"
"345","114","Martin Jr"
"346","115","Colonel Diver"
"347","113","Mark Tapley"
"348","115","Martin Jr"
"349","116","Colonel Diver"
"350","116","Jeff Brick"
"351","116","Martin Jr"
"352","117","Colonel Diver"
"353","117","Jeff Brick"
"354","117","Martin Jr"
"355","118","Jeff Brick"
"356","118","Major Pawkins"
"357","118","Martin Jr"
"358","119","Jeff Brick"
"359","119","Martin Jr"
"360","119","Mrs Pawkins"
"361","118","Colonel Diver"
"362","120","Jeff Brick"
"363","120","Martin Jr"
"364","121","Martin Jr"
"365","116","Mark Tapley"
"366","122","Martin Jr"
"367","123","Mark Tapley"
"368","123","Martin Jr"
"369","124","Mark Tapley"
"370","124","Martin Jr"
"371","124","Mr Bevan"
"372","120","Mrs Pawkins"
"373","125","Mark Tapley"
"374","125","Martin Jr"
"375","125","Mr Bevan"
"376","125","Mrs Pawkins"
"377","126","Martin Jr"
"378","126","Mr Norris"
"379","121","Jeff Brick"
"380","126","Mark Tapley"
"381","127","Martin Jr"
"382","126","Mr Bevan"
"383","127","Mr Norris"
"384","128","Mark Tapley"
"385","128","Martin Jr"
"386","128","Mr Bevan"
"387","129","Mark Tapley"
"388","129","Martin Jr"
"389","86","Anthony Chuzzlewit"
"390","82","Chuffey"
"391","86","Jonas Chuzzlewit"
"392","130","Martin Jr"
"393","105","Martin Sr"
"394","131","Anthony Chuzzlewit"
"395","131","Chuffey"
"396","131","Jonas Chuzzlewit"
"397","106","Seth Pecksniff"
"398","132","Anthony Chuzzlewit"
"399","132","Chuffey"
"400","132","Jonas Chuzzlewit"
"401","131","Martin Sr"
"402","86","Mrs Todgers"
"403","132","Seth Pecksniff"
"404","133","Anthony Chuzzlewit"
"405","133","Chuffey"
"406","133","Jonas Chuzzlewit"
"407","133","Martin Sr"
"408","133","Seth Pecksniff"
"409","134","Anthony Chuzzlewit"
"410","134","Chuffey"
"411","134","Jonas Chuzzlewit"
"412","134","Martin Sr"
"413","134","Seth Pecksniff"
"414","135","Jonas Chuzzlewit"
"415","135","Seth Pecksniff"
"416","136","Mrs Gamp"
"417","136","Seth Pecksniff"
"418","135","Anthony Chuzzlewit"
"419","135","Chuffey"
"420","136","Jonas Chuzzlewit"
"421","136","Mr Mould"
"422","137","Mrs Gamp"
"423","137","Seth Pecksniff"
"424","138","Chuffey"
"425","138","Jonas Chuzzlewit"
"426","138","Mr Mould"
"427","138","Mrs Gamp"
"428","138","Seth Pecksniff"
"429","138","Anthony Chuzzlewit"
"430","139","Chuffey"
"431","135","Martin Sr"
"432","139","Mr Mould"
"433","139","Mrs Gamp"
"434","139","Seth Pecksniff"
"435","140","Anthony Chuzzlewit"
"436","140","Chuffey"
"437","138","Doctor Jobling"
