"","Character","Node","Type","Appearances"
"1","AbbeyPottersonOMF",22,"First Appearance",15
"2","AbbeyPottersonOMF",298,"Last Appearance",15
"3","AlfredLammleOMF",41,"First Appearance",38
"4","AlfredLammleOMF",304,"Last Appearance",38
"5","AnalyticalChemistOMF",4,"First Appearance",10
"6","AnalyticalChemistOMF",233,"Last Appearance",10
"7","BellaOMF",304,"Last Appearance",83
"8","BellaOMF",13,"First Appearance",83
"9","BettyHigdenOMF",71,"First Appearance",20
"10","BettyHigdenOMF",304,"Last Appearance",20
"11","BlightOMF",31,"First Appearance",5
"12","BlightOMF",298,"Last Appearance",5
"13","BobGlamourOMF",23,"First Appearance",3
"14","BobGlamourOMF",165,"Last Appearance",3
"15","BobGlidderyOMF",165,"Last Appearance",7
"16","BobGlidderyOMF",23,"First Appearance",7
"17","BootsBrewerOMF",303,"Last Appearance",13
"18","BootsBrewerOMF",4,"First Appearance",13
"19","BradleyOMF",12,"First Appearance",43
"20","BradleyOMF",297,"Last Appearance",43
"21","CaptJoeyOMF",133,"First Appearance",3
"22","CaptJoeyOMF",179,"Last Appearance",3
"23","CharleyHexamOMF",263,"Last Appearance",18
"24","CharleyHexamOMF",10,"First Appearance",18
"25","FledgebyOMF",298,"Last Appearance",31
"26","FledgebyOMF",94,"First Appearance",31
"27","GafferHexamOMF",2,"First Appearance",17
"28","GafferHexamOMF",204,"Last Appearance",17
"29","GeorgeJonesOMF",23,"First Appearance",7
"30","GeorgeJonesOMF",287,"Last Appearance",7
"31","GeorgeSampsonOMF",13,"First Appearance",16
"32","GeorgeSampsonOMF",299,"Last Appearance",16
"33","GeorgianaPodOMF",240,"Last Appearance",19
"34","GeorgianaPodOMF",47,"First Appearance",19
"35","GruffandGlumOMF",247,"First Appearance",2
"36","GruffandGlumOMF",248,"Last Appearance",2
"37","JackMullinsOMF",23,"First Appearance",1
"38","JackMullinsOMF",23,"Last Appearance",1
"39","JacobKibbleOMF",11,"First Appearance",3
"40","JacobKibbleOMF",283,"Last Appearance",3
"41","JennyOMF",300,"Last Appearance",39
"42","JennyOMF",81,"First Appearance",39
"43","JobPottersonOMF",283,"Last Appearance",2
"44","JobPottersonOMF",11,"First Appearance",2
"45","JohnHarmonOMF",304,"Last Appearance",99
"46","JohnHarmonOMF",9,"First Appearance",99
"47","JohnnyOMF",71,"First Appearance",11
"48","JohnnyOMF",300,"Last Appearance",11
"49","LadyTippinsOMF",303,"Last Appearance",21
"50","LadyTippinsOMF",4,"First Appearance",21
"51","LaviniaOMF",299,"Last Appearance",23
"52","LaviniaOMF",13,"First Appearance",23
"53","LightwoodOMF",303,"Last Appearance",56
"54","LightwoodOMF",4,"First Appearance",56
"55","LizzieHexamOMF",1,"First Appearance",67
"56","LizzieHexamOMF",301,"Last Appearance",67
"57","MaryAnneOMF",80,"First Appearance",4
"58","MaryAnneOMF",263,"Last Appearance",4
"59","MissPeecherOMF",295,"Last Appearance",10
